"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":9241},{""page_index"":1,""viewing_time"":4347},{""page_index"":2,""viewing_time"":48640},{""page_index"":3,""viewing_time"":81450}]","143680","instructions","0","null","143696","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","","","","","","",""
"","2924","image-button-response","1","null","147631","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3582","image-button-response","2","null","151729","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7662","image-button-response","3","null","159909","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-008.png","3","Car","87-008.png"
"","18864","image-button-response","4","null","179306","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-016.png","5","Chair","45-016.png"
"","8027","image-button-response","5","null","187854","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-008.png","1","Bicycle","62-008.png"
"","13117","image-button-response","6","null","201479","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-009.png","3","Car","33-009.png"
"","4288","image-button-response","7","null","206284","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-009.png","0","Airplane","86-009.png"
"","8362","image-button-response","8","null","215163","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-012.png","10","Tree","86-012.png"
"","4680","image-button-response","9","null","220353","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-010.png","6","Cup","15-010.png"
"","2305","image-button-response","10","null","223162","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-012.png","5","Chair","46-012.png"
"","6687","image-button-response","11","null","230354","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-007.png","2","Bird","80-007.png"
"","11743","image-button-response","12","null","242607","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-011.png","6","Cup","16-011.png"
"","2943","image-button-response","13","null","246065","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-014.png","0","Airplane","61-014.png"
"","7002","image-button-response","14","null","253582","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-011.png","4","Cat","112-011.png"
"","3453","image-button-response","15","null","257543","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-011.png","0","Airplane","49-011.png"
"","7474","image-button-response","16","null","265522","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-016.png","2","Bird","40-016.png"
"","4361","image-button-response","17","null","270394","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-009.png","3","Car","75-009.png"
"","4105","image-button-response","18","null","275005","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-008.png","4","Cat","14-008.png"
"","6889","image-button-response","19","null","282402","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-015.png","2","Bird","31-015.png"
"","9949","image-button-response","20","null","292867","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-005.png","6","Cup","39-005.png"
"","4399","image-button-response","21","null","297779","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-006.png","2","Bird","61-006.png"
"","3172","image-button-response","22","null","301456","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-013.png","1","Bicycle","93-013.png"
"","5941","image-button-response","23","null","307904","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-010.png","3","Car","119-010.png"
"","6759","image-button-response","24","null","315170","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-011.png","10","Tree","47-011.png"
"","4575","image-button-response","25","null","320252","686d62ec803998618dffb3d1","686d9d1f19dde7f6578df9cb","6692c893ffa8d76ccb029717","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-009.png","4","Cat","117-009.png"
