"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":514893},{""page_index"":1,""viewing_time"":6698},{""page_index"":2,""viewing_time"":6796},{""page_index"":3,""viewing_time"":17826}]","546213","instructions","0","null","546278","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","","","","","","",""
"","2074","image-button-response","1","null","549360","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1898","image-button-response","2","null","551761","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7528","image-button-response","3","null","559794","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-015.png","6","Cup","118-015.png"
"","25026","image-button-response","4","null","585323","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-015.png","3","Car","36-015.png"
"","16610","image-button-response","5","null","602437","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-009.png","3","Car","75-009.png"
"","13134","image-button-response","6","null","616074","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-016.png","4","Cat","84-016.png"
"","13233","image-button-response","7","null","629810","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-011.png","5","Chair","13-011.png"
"","3138","image-button-response","8","null","633452","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-012.png","10","Tree","86-012.png"
"","4031","image-button-response","9","null","637986","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-015.png","0","Airplane","117-015.png"
"","3376","image-button-response","10","null","641865","686d62ec803998618dffb3d1","686db020222036376b584989","6694251bbfc3e4a246f8125a","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-005.png","4","Cat","21-005.png"
