"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":11213},{""page_index"":1,""viewing_time"":8798},{""page_index"":2,""viewing_time"":25802},{""page_index"":3,""viewing_time"":10209}]","56023","instructions","0","null","56035","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","","","","","","",""
"","4788","image-button-response","1","null","61842","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3695","image-button-response","2","null","66049","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","35851","image-button-response","3","null","102417","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-013.png","7","Hat","39-013.png"
"","5570","image-button-response","4","null","108504","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-012.png","8","House","87-012.png"
"","3341","image-button-response","5","null","112350","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-012.png","2","Bird","84-012.png"
"","9767","image-button-response","6","null","122625","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-008.png","2","Bird","37-008.png"
"","6376","image-button-response","7","null","129504","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-009.png","3","Car","46-009.png"
"","20031","image-button-response","8","null","150038","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-016.png","11","Watch","18-016.png"
"","16618","image-button-response","9","null","167160","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-007.png","8","House","47-007.png"
"","7535","image-button-response","10","null","175200","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-009.png","5","Chair","76-009.png"
"","9343","image-button-response","11","null","185048","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-006.png","11","Watch","84-006.png"
"","8693","image-button-response","12","null","194246","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-007.png","10","Tree","19-007.png"
"","4570","image-button-response","13","null","199318","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-010.png","0","Airplane","84-010.png"
"","30839","image-button-response","14","null","230664","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-006.png","7","Hat","80-006.png"
"","12576","image-button-response","15","null","243744","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-015.png","3","Car","38-015.png"
"","5480","image-button-response","16","null","249728","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-012.png","4","Cat","120-012.png"
"","10197","image-button-response","17","null","260429","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-009.png","2","Bird","79-009.png"
"","25618","image-button-response","18","null","286550","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-008.png","2","Bird","83-008.png"
"","9069","image-button-response","19","null","296127","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-009.png","2","Bird","120-009.png"
"","18801","image-button-response","20","null","315430","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-007.png","3","Car","1-007.png"
"","14867","image-button-response","21","null","330801","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-006.png","9","Rabbit","120-006.png"
"","10237","image-button-response","22","null","341552","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-008.png","3","Car","79-008.png"
"","2927","image-button-response","23","null","344992","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-013.png","4","Cat","81-013.png"
"","8294","image-button-response","24","null","353791","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-005.png","4","Cat","79-005.png"
"","6587","image-button-response","25","null","360882","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-013.png","2","Bird","18-013.png"
"","6615","image-button-response","26","null","368000","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-012.png","9","Rabbit","39-012.png"
"","4792","image-button-response","27","null","373295","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-015.png","2","Bird","120-015.png"
"","5178","image-button-response","28","null","378975","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-007.png","7","Hat","119-007.png"
"","3474","image-button-response","29","null","382950","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-014.png","6","Cup","47-014.png"
"","6849","image-button-response","30","null","390302","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-011.png","5","Chair","19-011.png"
"","11567","image-button-response","31","null","402376","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-013.png","9","Rabbit","79-013.png"
"","3367","image-button-response","32","null","406251","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-015.png","11","Watch","111-015.png"
"","2702","image-button-response","33","null","409457","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-006.png","10","Tree","79-006.png"
"","3848","image-button-response","34","null","413808","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-015.png","1","Bicycle","107-015.png"
"","3099","image-button-response","35","null","417417","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-010.png","10","Tree","18-010.png"
"","6175","image-button-response","36","null","424097","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-015.png","3","Car","17-015.png"
"","4925","image-button-response","37","null","429525","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-010.png","2","Bird","47-010.png"
"","3592","image-button-response","38","null","433623","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-008.png","3","Car","120-008.png"
"","2624","image-button-response","39","null","436757","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-012.png","3","Car","17-012.png"
"","25407","image-button-response","40","null","462672","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-009.png","0","Airplane","40-009.png"
"","2102","image-button-response","41","null","465279","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-008.png","0","Airplane","41-008.png"
"","7936","image-button-response","42","null","473720","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-016.png","6","Cup","48-016.png"
"","34135","image-button-response","43","null","508367","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-009.png","4","Cat","1-009.png"
"","4945","image-button-response","44","null","513824","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-011.png","0","Airplane","49-011.png"
"","16103","image-button-response","45","null","530431","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-009.png","3","Car","47-009.png"
"","2769","image-button-response","46","null","533705","686d62ec803998618dffb3d1","686d6a1f1b5ffca93dfea6d4","66a72d05236826287427eeea","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-007.png","5","Chair","87-007.png"
