"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":1609},{""page_index"":1,""viewing_time"":2698},{""page_index"":2,""viewing_time"":1934},{""page_index"":3,""viewing_time"":4267}]","10508","instructions","0","null","10515","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","","","","","","",""
"","1610","image-button-response","1","null","13132","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1612","image-button-response","2","null","15247","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","2980","image-button-response","3","null","18731","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-015.png","11","Watch","111-015.png"
"","6963","image-button-response","4","null","26199","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-011.png","9","Rabbit","112-011.png"
"","4295","image-button-response","5","null","31001","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-015.png","4","Cat","97-015.png"
"","5196","image-button-response","6","null","36699","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-006.png","5","Chair","120-006.png"
"","3177","image-button-response","7","null","40380","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-013.png","5","Chair","115-013.png"
"","2031","image-button-response","8","null","42913","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-008.png","3","Car","120-008.png"
"","3382","image-button-response","9","null","46799","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-008.png","7","Hat","93-008.png"
"","1913","image-button-response","10","null","49214","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-016.png","9","Rabbit","49-016.png"
"","4614","image-button-response","11","null","54330","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","7949","image-button-response","12","null","62781","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-008.png","11","Watch","15-008.png"
"","5799","image-button-response","13","null","69082","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-006.png","6","Cup","37-006.png"
"","1981","image-button-response","14","null","71564","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-005.png","11","Watch","62-005.png"
"","2049","image-button-response","15","null","74114","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-010.png","10","Tree","98-010.png"
"","2948","image-button-response","16","null","77564","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-012.png","8","House","78-012.png"
"","6630","image-button-response","17","null","84697","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-014.png","4","Cat","13-014.png"
"","10165","image-button-response","18","null","95364","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-006.png","7","Hat","49-006.png"
"","32831","image-button-response","19","null","128697","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-008.png","3","Car","35-008.png"
"","1930","image-button-response","20","null","131130","686d62ec803998618dffb3d1","686dba811c4561da1495fc03","66a7e128f37f34ca658be38b","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-008.png","10","Tree","111-008.png"
