"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":6816},{""page_index"":1,""viewing_time"":3915},{""page_index"":2,""viewing_time"":7668},{""page_index"":3,""viewing_time"":8433}]","26833","instructions","0","null","26851","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","","","","","","",""
"","2694","image-button-response","1","null","30564","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2139","image-button-response","2","null","33216","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4138","image-button-response","3","null","37865","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-012.png","8","House","83-012.png"
"","3346","image-button-response","4","null","41716","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-005.png","9","Rabbit","36-005.png"
"","3068","image-button-response","5","null","45300","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-016.png","8","House","119-016.png"
"","7085","image-button-response","6","null","52900","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-010.png","5","Chair","79-010.png"
"","12252","image-button-response","7","null","65666","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-008.png","6","Cup","14-008.png"
"","4698","image-button-response","8","null","70882","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-010.png","6","Cup","38-010.png"
"","3639","image-button-response","9","null","75084","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-015.png","6","Cup","15-015.png"
"","3435","image-button-response","10","null","79032","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-012.png","2","Bird","101-012.png"
"","3013","image-button-response","11","null","82550","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-009.png","2","Bird","37-009.png"
"","5936","image-button-response","12","null","89000","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-006.png","3","Car","39-006.png"
"","17613","image-button-response","13","null","107132","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-007.png","3","Car","119-007.png"
"","11355","image-button-response","14","null","119000","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-011.png","8","House","6-011.png"
"","6902","image-button-response","15","null","126415","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-016.png","3","Car","101-016.png"
"","9500","image-button-response","16","null","136430","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-011.png","10","Tree","10-011.png"
"","2850","image-button-response","17","null","139784","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-016.png","10","Tree","97-016.png"
"","6655","image-button-response","18","null","146950","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-008.png","5","Chair","13-008.png"
"","7755","image-button-response","19","null","155216","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-014.png","6","Cup","42-014.png"
"","4170","image-button-response","20","null","159899","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-013.png","10","Tree","120-013.png"
"","11189","image-button-response","21","null","171599","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-013.png","2","Bird","39-013.png"
"","21955","image-button-response","22","null","194066","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-007.png","8","House","47-007.png"
"","4302","image-button-response","23","null","198883","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-016.png","7","Hat","41-016.png"
"","9026","image-button-response","24","null","208415","686d62ec803998618dffb3d1","686da0be0c20637d2ffc6c84","66b8d74a8ce8e0d943a6b205","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-006.png","1","Bicycle","78-006.png"
