"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8620},{""page_index"":1,""viewing_time"":10233},{""page_index"":2,""viewing_time"":5550},{""page_index"":3,""viewing_time"":3567}]","27970","instructions","0","null","27984","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","","","","","","",""
"","3758","image-button-response","1","null","32750","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3036","image-button-response","2","null","36300","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3629","image-button-response","3","null","40433","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-012.png","7","Hat","39-012.png"
"","2669","image-button-response","4","null","43617","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-006.png","2","Bird","61-006.png"
"","7330","image-button-response","5","null","51450","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-015.png","11","Watch","32-015.png"
"","2929","image-button-response","6","null","54883","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-006.png","7","Hat","43-006.png"
"","2046","image-button-response","7","null","57433","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-010.png","6","Cup","72-010.png"
"","12078","image-button-response","8","null","70014","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-005.png","1","Bicycle","26-005.png"
"","4698","image-button-response","9","null","75216","686d62ec803998618dffb3d1","686dbbfe392a0366b86ef8c0","671c5ad0eb30c87c11b22ec4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-005.png","4","Cat","118-005.png"
