"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":13937},{""page_index"":1,""viewing_time"":7550},{""page_index"":2,""viewing_time"":9985},{""page_index"":3,""viewing_time"":16645}]","48116","instructions","0","null","48137","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","","","","","","",""
"","5188","image-button-response","1","null","54339","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3127","image-button-response","2","null","57978","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","45197","image-button-response","3","null","103687","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-012.png","0","Airplane","119-012.png"
"","4241","image-button-response","4","null","108445","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-010.png","6","Cup","38-010.png"
"","38715","image-button-response","5","null","147677","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-009.png","10","Tree","40-009.png"
"","25597","image-button-response","6","null","173796","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-008.png","10","Tree","19-008.png"
"","4852","image-button-response","7","null","179157","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-015.png","2","Bird","120-015.png"
"","18719","image-button-response","8","null","198401","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-012.png","8","House","39-012.png"
"","15089","image-button-response","9","null","214010","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-015.png","4","Cat","39-015.png"
"","8033","image-button-response","10","null","222551","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-007.png","5","Chair","38-007.png"
"","2313","image-button-response","11","null","225372","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","4583","image-button-response","12","null","230473","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-012.png","3","Car","100-012.png"
"","18950","image-button-response","13","null","249930","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-006.png","9","Rabbit","42-006.png"
"","7737","image-button-response","14","null","258181","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-010.png","10","Tree","18-010.png"
"","25263","image-button-response","15","null","283960","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-013.png","0","Airplane","38-013.png"
"","22830","image-button-response","16","null","307297","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-008.png","11","Watch","37-008.png"
"","6789","image-button-response","17","null","314597","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-011.png","10","Tree","47-011.png"
"","25052","image-button-response","18","null","340162","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-009.png","2","Bird","78-009.png"
"","29354","image-button-response","19","null","370027","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-005.png","0","Airplane","19-005.png"
"","36794","image-button-response","20","null","407329","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-010.png","8","House","19-010.png"
"","13548","image-button-response","21","null","421391","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-016.png","0","Airplane","45-016.png"
"","11466","image-button-response","22","null","433374","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-008.png","3","Car","18-008.png"
"","4138","image-button-response","23","null","438027","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-011.png","6","Cup","79-011.png"
"","3714","image-button-response","24","null","442259","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-012.png","8","House","87-012.png"
"","2946","image-button-response","25","null","445721","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-007.png","2","Bird","81-007.png"
"","20933","image-button-response","26","null","467169","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-014.png","9","Rabbit","45-014.png"
"","9755","image-button-response","27","null","477442","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-013.png","4","Cat","87-013.png"
"","14245","image-button-response","28","null","492192","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-016.png","8","House","39-016.png"
"","12735","image-button-response","29","null","505448","686d62ec803998618dffb3d1","686d6ef577c6b6e4f0a0ce56","6724260700cede758eb0c062","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-010.png","0","Airplane","100-010.png"
