"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":21144},{""page_index"":1,""viewing_time"":12466},{""page_index"":2,""viewing_time"":15465},{""page_index"":3,""viewing_time"":30226}]","79301","instructions","0","null","79321","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","","","","","","",""
"","10634","image-button-response","1","null","90979","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4528","image-button-response","2","null","96039","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","12291","image-button-response","3","null","108843","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-012.png","3","Car","100-012.png"
"","7786","image-button-response","4","null","117136","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-007.png","2","Bird","81-007.png"
"","14036","image-button-response","5","null","131696","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-016.png","10","Tree","97-016.png"
"","5323","image-button-response","6","null","137528","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-005.png","0","Airplane","17-005.png"
"","7270","image-button-response","7","null","145321","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-007.png","5","Chair","38-007.png"
"","21811","image-button-response","8","null","167641","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-007.png","5","Chair","82-007.png"
"","15622","image-button-response","9","null","183773","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-012.png","10","Tree","43-012.png"
"","33927","image-button-response","10","null","218207","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-006.png","4","Cat","36-006.png"
"","6739","image-button-response","11","null","225455","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-009.png","3","Car","118-009.png"
"","6292","image-button-response","12","null","232257","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-016.png","10","Tree","12-016.png"
"","4488","image-button-response","13","null","237257","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-014.png","4","Cat","75-014.png"
"","27118","image-button-response","14","null","264898","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-013.png","7","Hat","40-013.png"
"","5994","image-button-response","15","null","271404","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-005.png","0","Airplane","87-005.png"
"","13239","image-button-response","16","null","285150","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-005.png","7","Hat","39-005.png"
"","20509","image-button-response","17","null","306168","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-005.png","9","Rabbit","79-005.png"
"","19241","image-button-response","18","null","325920","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-015.png","4","Cat","86-015.png"
"","6864","image-button-response","19","null","333304","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-010.png","5","Chair","114-010.png"
"","6575","image-button-response","20","null","340399","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-013.png","6","Cup","43-013.png"
"","3202","image-button-response","21","null","344111","686d62ec803998618dffb3d1","686db64223b4f6cf657a9035","67e88a0303c1b7693d1a0c6f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-010.png","6","Cup","35-010.png"
