view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,study_id,session_id,participant_id,catch_trial,prep_trial,sketcher_category,stimulus,response,response_category,sketch_id
"[{""page_index"":0,""viewing_time"":8620},{""page_index"":1,""viewing_time"":10233},{""page_index"":2,""viewing_time"":5550},{""page_index"":3,""viewing_time"":3567}]",27970,instructions,0,,27984,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,,,,,,,
,3758,image-button-response,1,,32750,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,True,car,stimuli/prep_trials/1_car_prep.png,3.0,Car,
,3036,image-button-response,2,,36300,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,True,cat,stimuli/prep_trials/0_cat_prep.jpg,4.0,Cat,
,3629,image-button-response,3,,40433,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Rabbit,https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-012.png,7.0,Hat,39-012.png
,2669,image-button-response,4,,43617,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Bird,https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-006.png,2.0,Bird,61-006.png
,7330,image-button-response,5,,51450,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Hat,https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-015.png,11.0,Watch,32-015.png
,2929,image-button-response,6,,54883,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Hat,https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-006.png,7.0,Hat,43-006.png
,2046,image-button-response,7,,57433,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Cup,https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-010.png,6.0,Cup,72-010.png
,12078,image-button-response,8,,70014,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Bicycle,https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-005.png,1.0,Bicycle,26-005.png
,4698,image-button-response,9,,75216,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Cat,https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-005.png,4.0,Cat,118-005.png
,2429,image-button-response,10,,78149,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Bicycle,https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-012.png,3.0,Car,76-012.png
,13732,image-button-response,11,,92384,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Bicycle,https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-006.png,1.0,Bicycle,50-006.png
,2462,image-button-response,12,,95349,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Watch,https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-006.png,11.0,Watch,106-006.png
,1829,image-button-response,13,,97682,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Cup,https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-008.png,6.0,Cup,100-008.png
,28681,image-button-response,14,,126866,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Bicycle,https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-010.png,10.0,Tree,13-010.png
,11297,image-button-response,15,,138666,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Chair,https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-013.png,5.0,Chair,36-013.png
,1780,image-button-response,16,,140948,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Chair,https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-007.png,5.0,Chair,87-007.png
,2698,image-button-response,17,,144149,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Car,https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-012.png,8.0,House,73-012.png
,10229,image-button-response,18,,154880,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Bird,https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-007.png,0.0,Airplane,33-007.png
,4149,image-button-response,19,,159533,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Rabbit,https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-010.png,9.0,Rabbit,85-010.png
,8714,image-button-response,20,,168748,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Tree,https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-015.png,2.0,Bird,31-015.png
,2732,image-button-response,21,,171983,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,House,https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-005.png,8.0,House,15-005.png
,1747,image-button-response,22,,174233,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Hat,https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-006.png,7.0,Hat,86-006.png
,1813,image-button-response,23,,176549,686d62ec803998618dffb3d1,686dbbfe392a0366b86ef8c0,224,False,False,Bird,https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-008.png,2.0,Bird,118-008.png
