"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":9052},{""page_index"":1,""viewing_time"":6995},{""page_index"":2,""viewing_time"":3908},{""page_index"":3,""viewing_time"":2107},{""page_index"":4,""viewing_time"":3854}]","25917","instructions","0","null","25921","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","","","","","","","",""
"","3602","image-button-response","1","null","30531","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","5","S111_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial5.png","5","",""
"","2250","image-button-response","2","null","33283","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","4","S51_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial4.png","4","",""
"","3887","image-button-response","3","null","37677","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","1","S19_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial1.png","3","",""
"","2167","image-button-response","4","null","40354","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","1","S32_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial1.png","3","",""
"","1548","image-button-response","5","null","42414","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","5","S71_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial5.png","5","",""
"","1287","image-button-response","6","null","44214","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","3","S90_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial3.png","5","",""
"","1226","image-button-response","7","null","45944","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","3","S1_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial3.png","4","",""
"","1322","image-button-response","8","null","47777","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","3","S52_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial3.png","5","",""
"","1543","image-button-response","9","null","49833","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","5","S90_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial5.png","5","",""
"","1058","image-button-response","10","null","51393","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","5","S72_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial5.png","5","",""
"","1146","image-button-response","11","null","53056","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","2","S53_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial2.png","5","",""
"","1248","image-button-response","12","null","54808","68895b4cc3548521ab78eeca","688a92f2698b75de1500e616","55ec49b67480920010aaa4e8","3","S31_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial3.png","4","",""
