"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":11521},{""page_index"":1,""viewing_time"":3745},{""page_index"":2,""viewing_time"":2816},{""page_index"":3,""viewing_time"":1639},{""page_index"":4,""viewing_time"":6796}]","26517","instructions","0","null","26533","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","","","","","","","",""
"","5681","image-button-response","1","null","33229","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","4","S107_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial4.png","5","",""
"","3188","image-button-response","2","null","36920","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","1","S26_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial1.png","4","",""
"","2173","image-button-response","3","null","39606","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","1","S45_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial1.png","4","",""
"","2612","image-button-response","4","null","42724","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","5","S106_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial5.png","5","",""
"","5387","image-button-response","5","null","48614","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","4","S68_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial4.png","4","",""
"","2904","image-button-response","6","null","52025","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","5","S67_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial5.png","5","",""
"","3401","image-button-response","7","null","55936","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","3","S67_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial3.png","5","",""
"","1892","image-button-response","8","null","58342","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","4","S67_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial4.png","5","",""
"","4529","image-button-response","9","null","63378","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","5","S45_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial5.png","4","",""
"","3051","image-button-response","10","null","66938","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","1","S107_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial1.png","4","",""
"","2090","image-button-response","11","null","69538","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","5","S86_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial5.png","4","",""
"","2040","image-button-response","12","null","72083","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","2","S86_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial2.png","4","",""
"","3322","image-button-response","13","null","75922","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","4","S47_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial4.png","3","",""
"","3695","image-button-response","14","null","80128","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","4021","image-button-response","15","null","84666","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","3","S84_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial3.png","4","",""
"","2313","image-button-response","16","null","87490","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","1","S108_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial1.png","5","",""
"","3408","image-button-response","17","null","91400","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","2","S85_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial2.png","4","",""
"","2719","image-button-response","18","null","94634","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","2","S67_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial2.png","5","",""
"","3337","image-button-response","19","null","98473","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","4","S25_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial4.png","3","",""
"","3061","image-button-response","20","null","102042","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","5","S107_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial5.png","4","",""
"","3232","image-button-response","21","null","105782","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","2","S106_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial2.png","5","",""
"","3097","image-button-response","22","null","109381","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","3","S107_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial3.png","4","",""
"","6050","image-button-response","23","null","115937","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","2","S16_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial2.png","2","",""
"","5851","image-button-response","24","null","122292","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","1","S47_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial1.png","4","",""
"","3302","image-button-response","25","null","126100","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","2","S26_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial2.png","3","",""
"","6002","image-button-response","26","null","132618","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","2","S17_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial2.png","3","",""
"","3535","image-button-response","27","null","136666","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","1","S67_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial1.png","4","",""
"","3250","image-button-response","28","null","140430","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","2","S68_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial2.png","4","",""
"","2765","image-button-response","29","null","143708","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","4","S15_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial4.png","2","",""
"","4203","image-button-response","30","null","148419","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","5","S27_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial5.png","4","",""
"","4205","image-button-response","31","null","153128","68895b4cc3548521ab78eeca","688a21975b226918d950dfe0","56b0ac5fe8b677000cdc0a34","5","S25_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial5.png","4","",""
