"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":9809},{""page_index"":1,""viewing_time"":8591},{""page_index"":2,""viewing_time"":20507},{""page_index"":3,""viewing_time"":2889},{""page_index"":4,""viewing_time"":8164}]","49961","instructions","0","null","49983","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","","","","","","","",""
"","5753","image-button-response","1","null","56754","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","1","S41_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial1.png","4","",""
"","4907","image-button-response","2","null","62172","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","1","S100_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial1.png","5","",""
"","5105","image-button-response","3","null","67788","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","5","S11_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial5.png","1","",""
"","5022","image-button-response","4","null","73320","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","1","S62_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial1.png","4","",""
"","2667","image-button-response","5","null","76502","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","4940","image-button-response","6","null","81952","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","5","S100_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial5.png","3","",""
"","4249","image-button-response","7","null","86712","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","4","S21_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial4.png","3","",""
"","6826","image-button-response","8","null","94061","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","4","S22_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial4.png","4","",""
"","5421","image-button-response","9","null","99994","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","3","S101_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial3.png","5","",""
"","4898","image-button-response","10","null","105405","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","1","S11_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial1.png","2","",""
"","5797","image-button-response","11","null","111709","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","2","S81_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial2.png","5","",""
"","4782","image-button-response","12","null","117002","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","3","S42_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial3.png","4","",""
"","7360","image-button-response","13","null","124875","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","2","S61_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial2.png","4","",""
"","5162","image-button-response","14","null","130556","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","1","S81_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial1.png","5","",""
"","5367","image-button-response","15","null","136438","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","3","S62_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial3.png","4","",""
"","4415","image-button-response","16","null","141372","68895b4cc3548521ab78eeca","68897164307ae368e63ccf54","56e225c2ec0fdd000641e72d","1","S102_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial1.png","4","",""
