"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":5857},{""page_index"":1,""viewing_time"":6724},{""page_index"":2,""viewing_time"":6149},{""page_index"":3,""viewing_time"":4744},{""page_index"":4,""viewing_time"":4200}]","27674","instructions","0","null","27691","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","","","","","","","",""
"","4501","image-button-response","1","null","33212","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","3","S89_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial3.png","4","",""
"","2758","image-button-response","2","null","36484","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","2","S29_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial2.png","3","",""
"","3115","image-button-response","3","null","40114","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","1","S49_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial1.png","5","",""
"","3131","image-button-response","4","null","43756","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","5","S19_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial5.png","3","",""
"","5921","image-button-response","5","null","50191","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","3","S18_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial3.png","2","",""
"","4720","image-button-response","6","null","55423","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","4","S88_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial4.png","5","",""
"","3440","image-button-response","7","null","59378","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","4","S17_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial4.png","5","",""
"","5842","image-button-response","8","null","65737","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","4","S29_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial4.png","2","",""
"","4302","image-button-response","9","null","70552","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","3","S109_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial3.png","5","",""
"","5786","image-button-response","10","null","76852","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","1","S48_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial1.png","2","",""
"","3117","image-button-response","11","null","80479","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","2","S109_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial2.png","5","",""
"","3876","image-button-response","12","null","84868","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","2","S88_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial2.png","5","",""
"","3453","image-button-response","13","null","88833","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","5","S109_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial5.png","5","",""
"","3992","image-button-response","14","null","93339","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","1","S29_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial1.png","3","",""
"","3523","image-button-response","15","null","97378","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","5","S89_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial5.png","4","",""
"","4781","image-button-response","16","null","102672","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","5","S30_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial5.png","3","",""
"","3982","image-button-response","17","null","107169","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","3","S30_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial3.png","2","",""
"","2895","image-button-response","18","null","110579","68895b4cc3548521ab78eeca","688a4c00a63ab182c704e92a","573753f212d1d80007355ff6","2","S108_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial2.png","4","",""
