"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":32901},{""page_index"":1,""viewing_time"":11966},{""page_index"":2,""viewing_time"":10210},{""page_index"":3,""viewing_time"":6076},{""page_index"":4,""viewing_time"":18270}]","79423","instructions","0","null","79439","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","","","","","","","",""
"","7327","image-button-response","1","null","87787","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","1","S19_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial1.png","2","",""
"","6818","image-button-response","2","null","95119","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","4","S52_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial4.png","4","",""
"","2666","image-button-response","3","null","98288","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","5","S71_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial5.png","5","",""
"","4205","image-button-response","4","null","102999","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","3","S51_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial3.png","5","",""
"","2737","image-button-response","5","null","106241","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","4","S91_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial4.png","5","",""
"","2173","image-button-response","6","null","108921","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","1","S30_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial1.png","5","",""
"","2149","image-button-response","7","null","111574","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","2","S72_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial2.png","5","",""
"","2143","image-button-response","8","null","114236","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","3","S90_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial3.png","5","",""
"","4561","image-button-response","9","null","119317","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","2","S20_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial2.png","1","",""
"","2945","image-button-response","10","null","122766","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","4","S20_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial4.png","1","",""
"","8454","image-button-response","11","null","131734","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","","","true","false","stimuli/catch_trials/catch_trial.png","2","","3"
"","3340","image-button-response","12","null","135580","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","3","S1_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial3.png","4","",""
"","2632","image-button-response","13","null","138716","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","5","S52_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial5.png","5","",""
"","2451","image-button-response","14","null","141672","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","2","S90_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial2.png","5","",""
"","5456","image-button-response","15","null","147633","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","5","S90_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial5.png","5","",""
"","2277","image-button-response","16","null","150418","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","2","S51_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial2.png","5","",""
"","2463","image-button-response","17","null","153390","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","2","S91_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial2.png","5","",""
"","2190","image-button-response","18","null","156084","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","4","S111_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial4.png","5","",""
"","1948","image-button-response","19","null","158536","68895b4cc3548521ab78eeca","688a8e78f8314a59bc108389","5753046ba6deb50006d64b0f","3","S91_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial3.png","5","",""
