"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":10164},{""page_index"":1,""viewing_time"":12811},{""page_index"":2,""viewing_time"":4349},{""page_index"":3,""viewing_time"":8284},{""page_index"":4,""viewing_time"":13599}]","49208","instructions","0","null","49225","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","","","","","","","",""
"","3277","image-button-response","1","null","53508","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","1","S21_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial1.png","4","",""
"","2413","image-button-response","2","null","56426","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","5","S22_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial5.png","5","",""
"","4714","image-button-response","3","null","61643","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","3","S11_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial3.png","3","",""
"","2364","image-button-response","4","null","64510","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","5","S81_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial5.png","4","",""
"","3694","image-button-response","5","null","68708","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","5","S10_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial5.png","4","",""
"","3349","image-button-response","6","null","72561","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","5","S100_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial5.png","5","",""
"","1411","image-button-response","7","null","74474","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","1","S62_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial1.png","5","",""
"","2031","image-button-response","8","null","77009","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","3","S81_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial3.png","5","",""
"","2113","image-button-response","9","null","79625","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","4","S42_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial4.png","4","",""
"","5030","image-button-response","10","null","85158","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","1","S11_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial1.png","3","",""
"","1881","image-button-response","11","null","87542","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","3","S21_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial3.png","4","",""
"","2429","image-button-response","12","null","90475","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","3","S42_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial3.png","5","",""
"","1833","image-button-response","13","null","92810","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","3","S22_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial3.png","5","",""
"","1395","image-button-response","14","null","94709","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","2","S62_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial2.png","5","",""
"","1596","image-button-response","15","null","96809","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","2","S81_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial2.png","5","",""
"","2046","image-button-response","16","null","99358","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","5","S102_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial5.png","5","",""
"","3715","image-button-response","17","null","103575","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","2","S61_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial2.png","5","",""
"","2280","image-button-response","18","null","106359","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","4","S101_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial4.png","5","",""
"","2647","image-button-response","19","null","109510","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","2","S42_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial2.png","4","",""
"","2731","image-button-response","20","null","112744","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","4","S11_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial4.png","1","",""
"","2080","image-button-response","21","null","115327","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","2","S21_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial2.png","5","",""
"","4563","image-button-response","22","null","120392","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","5","S42_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial5.png","4","",""
"","2763","image-button-response","23","null","123659","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","3348","image-button-response","24","null","127511","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","2","S11_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial2.png","2","",""
"","1862","image-button-response","25","null","129876","68895b4cc3548521ab78eeca","68898407dd424897d476390a","58f7ec594bf83e000199f2e9","1","S61_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial1.png","5","",""
