"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":25668},{""page_index"":1,""viewing_time"":58971},{""page_index"":2,""viewing_time"":75156},{""page_index"":3,""viewing_time"":57287},{""page_index"":4,""viewing_time"":32970}]","250052","instructions","0","null","250067","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","","","","","","","",""
"","34674","image-button-response","1","null","285744","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","1","S46_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial1.png","3","",""
"","17431","image-button-response","2","null","303678","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","2","S17_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial2.png","4","",""
"","13571","image-button-response","3","null","317751","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","2","S47_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial2.png","5","",""
"","11130","image-button-response","4","null","329385","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","5","S85_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial5.png","5","",""
"","14235","image-button-response","5","null","344124","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","5","S86_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial5.png","5","",""
"","8830","image-button-response","6","null","353457","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","5","S66_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial5.png","4","",""
"","12841","image-button-response","7","null","366802","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","5","S26_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial5.png","3","",""
"","15907","image-button-response","8","null","383211","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","1","S106_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial1.png","5","",""
"","10330","image-button-response","9","null","394044","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S46_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial3.png","4","",""
"","9969","image-button-response","10","null","404516","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","2","S46_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial2.png","5","",""
"","17608","image-button-response","11","null","422627","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","2","S16_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial2.png","2","",""
"","12607","image-button-response","12","null","435737","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","2","S66_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial2.png","5","",""
"","8458","image-button-response","13","null","444697","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S85_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial3.png","5","",""
"","7166","image-button-response","14","null","452365","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","4","S46_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial4.png","5","",""
"","14370","image-button-response","15","null","467237","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S14_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial3.png","1","",""
"","8002","image-button-response","16","null","475741","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","5","S106_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial5.png","5","",""
"","10633","image-button-response","17","null","486875","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","4","S15_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial4.png","3","",""
"","8658","image-button-response","18","null","496037","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","4","S68_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial4.png","5","",""
"","6140","image-button-response","19","null","502679","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","1","S15_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial1.png","2","",""
"","7947","image-button-response","20","null","511128","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","4","S107_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial4.png","5","",""
"","5458","image-button-response","21","null","517088","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","2","S106_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial2.png","5","",""
"","6881","image-button-response","22","null","524473","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S105_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial3.png","5","",""
"","8703","image-button-response","23","null","533678","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S15_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial3.png","1","",""
"","7898","image-button-response","24","null","542078","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S47_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial3.png","4","",""
"","13410","image-button-response","25","null","555991","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S66_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial3.png","5","",""
"","10542","image-button-response","26","null","567034","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","5","S46_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial5.png","5","",""
"","10648","image-button-response","27","null","578184","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","1","S45_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial1.png","4","",""
"","19184","image-button-response","28","null","597871","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","2","S25_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial2.png","4","",""
"","9856","image-button-response","29","null","608229","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S25_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial3.png","3","",""
"","7831","image-button-response","30","null","616563","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","1","S86_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial1.png","5","",""
"","9516","image-button-response","31","null","626583","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","4","S85_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial4.png","5","",""
"","9801","image-button-response","32","null","636886","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","1","S85_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial1.png","5","",""
"","6093","image-button-response","33","null","643481","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S65_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial3.png","5","",""
"","10131","image-button-response","34","null","654115","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","5","S14_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial5.png","1","",""
"","7601","image-button-response","35","null","662216","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S106_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial3.png","5","",""
"","7363","image-button-response","36","null","670082","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","4","S14_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial4.png","1","",""
"","9512","image-button-response","37","null","680096","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","4","S86_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial4.png","5","",""
"","8966","image-button-response","38","null","689565","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","5","S16_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial5.png","1","",""
"","5753","image-button-response","39","null","695821","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","1","S66_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial1.png","5","",""
"","9360","image-button-response","40","null","705683","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","1","S65_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial1.png","5","",""
"","11478","image-button-response","41","null","717661","68895b4cc3548521ab78eeca","688a10033fa9e7e4730ffc5f","5a5bff49acc75b00017a6009","3","S84_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial3.png","4","",""
