"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":7648},{""page_index"":1,""viewing_time"":10395},{""page_index"":2,""viewing_time"":9917},{""page_index"":3,""viewing_time"":2048},{""page_index"":4,""viewing_time"":5218}]","35229","instructions","0","null","35271","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","","","","","","","",""
"","6342","image-button-response","1","null","42638","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","3","S62_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial3.png","5","",""
"","4523","image-button-response","2","null","47678","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","4","S41_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial4.png","4","",""
"","5402","image-button-response","3","null","53615","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","3","S101_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial3.png","5","",""
"","2504","image-button-response","4","null","56660","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","5","S61_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial5.png","4","",""
"","2911","image-button-response","5","null","60086","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","1","S102_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial1.png","5","",""
"","3445","image-button-response","6","null","64048","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","5","S81_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial5.png","4","",""
"","2383","image-button-response","7","null","66950","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","5","S62_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial5.png","5","",""
"","4794","image-button-response","8","null","72261","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","4","S101_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial4.png","4","",""
"","2725","image-button-response","9","null","75497","68895b4cc3548521ab78eeca","68896dcbf64db7cfd70285ae","5acb7b0ae1099600016acdd6","2","S22_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial2.png","4","",""
