"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":278591},{""page_index"":1,""viewing_time"":2404},{""page_index"":2,""viewing_time"":3261},{""page_index"":3,""viewing_time"":992},{""page_index"":4,""viewing_time"":2698}]","287946","instructions","0","null","287952","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","","","","","","","",""
"","4050","image-button-response","1","null","293014","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S46_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial5.png","5","",""
"","4883","image-button-response","2","null","298409","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S105_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial4.png","4","",""
"","4278","image-button-response","3","null","303200","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S65_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial5.png","5","",""
"","4578","image-button-response","4","null","308295","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S84_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial5.png","4","",""
"","3863","image-button-response","5","null","312679","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","2","S14_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial2.png","2","",""
"","7217","image-button-response","6","null","320410","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S84_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial3.png","5","",""
"","7655","image-button-response","7","null","328577","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","2","S44_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial2.png","4","",""
"","4290","image-button-response","8","null","333381","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S25_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial3.png","2","",""
"","3155","image-button-response","9","null","337049","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S105_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial5.png","5","",""
"","10387","image-button-response","10","null","347954","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","1","S25_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial1.png","3","",""
"","4561","image-button-response","11","null","353025","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S83_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial4.png","4","",""
"","3783","image-button-response","12","null","357312","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S26_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial3.png","2","",""
"","3059","image-button-response","13","null","360881","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","1","S24_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial1.png","1","",""
"","6494","image-button-response","14","null","367889","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S104_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial5.png","5","",""
"","5339","image-button-response","15","null","373732","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S84_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial4.png","3","",""
"","3227","image-button-response","16","null","377469","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S14_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial3.png","1","",""
"","2293","image-button-response","17","null","380269","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","2","S23_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial2.png","1","",""
"","7775","image-button-response","18","null","388549","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S45_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial4.png","2","",""
"","4706","image-button-response","19","null","393771","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","1","S13_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial1.png","2","",""
"","3396","image-button-response","20","null","397686","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S105_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial3.png","4","",""
"","2702","image-button-response","21","null","400895","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S106_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial3.png","5","",""
"","2449","image-button-response","22","null","403856","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","1","S14_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial1.png","2","",""
"","4355","image-button-response","23","null","408721","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S66_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial3.png","3","",""
"","3785","image-button-response","24","null","413023","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S15_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial5.png","1","",""
"","4548","image-button-response","25","null","418079","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S65_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial4.png","4","",""
"","8018","image-button-response","26","null","426606","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","2","S66_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial2.png","3","",""
"","3422","image-button-response","27","null","430547","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","1","S66_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial1.png","4","",""
"","2851","image-button-response","28","null","433919","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","2","S105_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial2.png","4","",""
"","2279","image-button-response","29","null","436703","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","2","S25_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial2.png","3","",""
"","3653","image-button-response","30","null","440874","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S13_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial3.png","2","",""
"","4880","image-button-response","31","null","446260","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","1","S45_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial1.png","2","",""
"","2988","image-button-response","32","null","449756","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S14_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial5.png","1","",""
"","5556","image-button-response","33","null","455821","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S65_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial3.png","5","",""
"","11389","image-button-response","34","null","467714","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S66_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial5.png","3","",""
"","4052","image-button-response","35","null","472282","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S25_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial4.png","2","",""
"","3405","image-button-response","36","null","476200","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","3","S82_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial3.png","4","",""
"","4703","image-button-response","37","null","481413","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","1","S105_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial1.png","4","",""
"","5658","image-button-response","38","null","487589","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S12_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial4.png","2","",""
"","2142","image-button-response","39","null","490243","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","5","S25_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial5.png","4","",""
"","3570","image-button-response","40","null","494328","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S24_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial4.png","1","",""
"","3950","image-button-response","41","null","498786","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","4","S106_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial4.png","4","",""
"","6626","image-button-response","42","null","505917","68895b4cc3548521ab78eeca","6889dc68693a7dfd9cb59da3","5b87dd09019cf60001a115b3","2","S84_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial2.png","4","",""
