"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":15903},{""page_index"":1,""viewing_time"":7471},{""page_index"":2,""viewing_time"":7133},{""page_index"":3,""viewing_time"":3654},{""page_index"":4,""viewing_time"":5136}]","39298","instructions","0","null","39325","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","","","","","","","",""
"","12608","image-button-response","1","null","52966","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","4","S16_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial4.png","3","",""
"","7561","image-button-response","2","null","61049","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","1","S108_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial1.png","5","",""
"","4773","image-button-response","3","null","66343","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","3","S16_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial3.png","4","",""
"","12722","image-button-response","4","null","79584","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","1","S47_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial1.png","4","",""
"","3726","image-button-response","5","null","83819","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","1","S16_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial1.png","4","",""
"","3133","image-button-response","6","null","87473","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","5","S107_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial5.png","5","",""
"","2720","image-button-response","7","null","90709","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","3","S49_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial3.png","4","",""
"","5410","image-button-response","8","null","96632","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","1","S27_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial1.png","4","",""
"","2007","image-button-response","9","null","99160","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","2","S49_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial2.png","4","",""
"","2825","image-button-response","10","null","102501","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","5","S28_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial5.png","4","",""
"","2355","image-button-response","11","null","105372","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","3","S15_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial3.png","2","",""
"","2623","image-button-response","12","null","108510","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","3","S108_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial3.png","5","",""
"","3907","image-button-response","13","null","112932","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","1","S107_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial1.png","4","",""
"","4053","image-button-response","14","null","117505","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","6156","image-button-response","15","null","124177","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","2","S48_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial2.png","3","",""
"","3302","image-button-response","16","null","127997","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","3","S107_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial3.png","4","",""
"","4188","image-button-response","17","null","132702","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","1","S17_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial1.png","5","",""
"","3173","image-button-response","18","null","136391","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","5","S87_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S87_age8_trial5.png","4","",""
"","2368","image-button-response","19","null","139277","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","3","S28_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial3.png","3","",""
"","4674","image-button-response","20","null","144468","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","3","S86_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial3.png","3","",""
"","2429","image-button-response","21","null","147414","68895b4cc3548521ab78eeca","688a2e94b2380e1534bab4d5","5cb5e6927a92c500015c0de1","3","S48_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial3.png","2","",""
