"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":4617},{""page_index"":1,""viewing_time"":7344},{""page_index"":2,""viewing_time"":2361},{""page_index"":3,""viewing_time"":1187},{""page_index"":4,""viewing_time"":1781}]","17290","instructions","0","null","17300","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","","","","","","","",""
"","5746","image-button-response","1","null","24058","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S83_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial1.png","5","",""
"","2374","image-button-response","2","null","26934","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S13_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial2.png","4","",""
"","2555","image-button-response","3","null","30002","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S82_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial4.png","5","",""
"","2951","image-button-response","4","null","33459","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S64_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial1.png","4","",""
"","2382","image-button-response","5","null","36348","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S104_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial2.png","4","",""
"","2723","image-button-response","6","null","39587","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S43_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial5.png","3","",""
"","1517","image-button-response","7","null","41606","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S23_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial5.png","2","",""
"","1832","image-button-response","8","null","43940","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S43_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial3.png","5","",""
"","2169","image-button-response","9","null","46618","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S43_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial1.png","3","",""
"","1982","image-button-response","10","null","49111","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S23_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial2.png","1","",""
"","1994","image-button-response","11","null","51610","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S83_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial5.png","5","",""
"","2020","image-button-response","12","null","54132","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S14_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial2.png","3","",""
"","2070","image-button-response","13","null","56706","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S23_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial1.png","4","",""
"","1679","image-button-response","14","null","58887","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S24_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial4.png","2","",""
"","1736","image-button-response","15","null","61127","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S23_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial3.png","1","",""
"","2471","image-button-response","16","null","64106","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S24_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial5.png","1","",""
"","1871","image-button-response","17","null","66482","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S104_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial4.png","5","",""
"","1698","image-button-response","18","null","68682","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S43_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial2.png","4","",""
"","2514","image-button-response","19","null","71702","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S63_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial5.png","4","",""
"","6669","image-button-response","20","null","78887","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S83_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial2.png","5","",""
"","3603","image-button-response","21","null","82999","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S104_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial3.png","4","",""
"","4705","image-button-response","22","null","88214","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S83_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial3.png","3","",""
"","2536","image-button-response","23","null","91266","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S64_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial3.png","3","",""
"","2957","image-button-response","24","null","94734","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S44_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial1.png","4","",""
"","2458","image-button-response","25","null","97702","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S24_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial3.png","2","",""
"","2019","image-button-response","26","null","100235","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S82_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial1.png","3","",""
"","3200","image-button-response","27","null","103938","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S83_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial4.png","4","",""
"","3453","image-button-response","28","null","107894","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S44_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial5.png","4","",""
"","2003","image-button-response","29","null","110410","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S23_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial4.png","1","",""
"","2802","image-button-response","30","null","113715","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S104_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial5.png","5","",""
"","2324","image-button-response","31","null","116542","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S12_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial5.png","4","",""
"","2354","image-button-response","32","null","119402","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S84_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial2.png","5","",""
"","2129","image-button-response","33","null","122042","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S43_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial4.png","5","",""
"","2493","image-button-response","34","null","125047","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S12_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial4.png","5","",""
"","1826","image-button-response","35","null","127382","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S64_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial5.png","4","",""
"","2132","image-button-response","36","null","130026","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S14_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial1.png","1","",""
"","1861","image-button-response","37","null","132390","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S63_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial1.png","4","",""
"","1405","image-button-response","38","null","134304","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S63_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial3.png","4","",""
"","2553","image-button-response","39","null","137359","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S104_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial1.png","4","",""
"","2231","image-button-response","40","null","140095","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S24_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial1.png","2","",""
"","2292","image-button-response","41","null","142890","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","1826","image-button-response","42","null","145218","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S105_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial4.png","5","",""
"","1893","image-button-response","43","null","147622","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S13_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial5.png","4","",""
"","4590","image-button-response","44","null","152715","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S45_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial4.png","3","",""
"","3703","image-button-response","45","null","156922","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S13_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial1.png","2","",""
"","2011","image-button-response","46","null","159434","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S65_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial2.png","5","",""
"","1841","image-button-response","47","null","161779","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S44_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial3.png","4","",""
"","1654","image-button-response","48","null","163947","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","1","S105_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial1.png","4","",""
"","2556","image-button-response","49","null","167010","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S24_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial2.png","2","",""
"","1954","image-button-response","50","null","169467","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S82_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial5.png","4","",""
"","2157","image-button-response","51","null","172134","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S13_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial3.png","2","",""
"","1863","image-button-response","52","null","174498","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S82_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial3.png","5","",""
"","1746","image-button-response","53","null","176754","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S44_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial2.png","4","",""
"","2051","image-button-response","54","null","179318","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S14_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial3.png","1","",""
"","2146","image-button-response","55","null","181966","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","4","S65_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial4.png","5","",""
"","1878","image-button-response","56","null","184347","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","3","S103_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial3.png","4","",""
"","1678","image-button-response","57","null","186528","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","2","S64_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial2.png","4","",""
"","2034","image-button-response","58","null","189066","68895b4cc3548521ab78eeca","6889c5597ce8e11bc2420726","5d350282cec7150015d16494","5","S103_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial5.png","5","",""
