"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":13893},{""page_index"":1,""viewing_time"":14869},{""page_index"":2,""viewing_time"":11009},{""page_index"":3,""viewing_time"":8018},{""page_index"":4,""viewing_time"":16782}]","64571","instructions","0","null","64581","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","","","","","","","",""
"","5600","image-button-response","1","null","71187","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S29_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial4.png","2","",""
"","4479","image-button-response","2","null","76176","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S19_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial4.png","2","",""
"","3587","image-button-response","3","null","80266","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","1","S30_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial1.png","2","",""
"","5193","image-button-response","4","null","85969","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S19_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial5.png","2","",""
"","4543","image-button-response","5","null","91020","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","3","S18_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial3.png","2","",""
"","7065","image-button-response","6","null","98596","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S110_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial4.png","4","",""
"","6669","image-button-response","7","null","105777","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","2","S89_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial2.png","5","",""
"","7995","image-button-response","8","null","114282","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","3","S30_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial3.png","3","",""
"","6290","image-button-response","9","null","121081","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S70_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial5.png","5","",""
"","5894","image-button-response","10","null","127485","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S30_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial4.png","2","",""
"","6133","image-button-response","11","null","134129","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","1","S110_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial1.png","2","",""
"","4054","image-button-response","12","null","138693","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","1","S1_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial1.png","5","",""
"","4500","image-button-response","13","null","143707","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","3","S70_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial3.png","5","",""
"","4172","image-button-response","14","null","148391","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","2","S90_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial2.png","5","",""
"","3412","image-button-response","15","null","152309","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S111_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial4.png","5","",""
"","5936","image-button-response","16","null","158765","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","2","S72_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial2.png","4","",""
"","7944","image-button-response","17","null","167218","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","3","S51_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial3.png","4","",""
"","3372","image-button-response","18","null","171099","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","2","S110_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial2.png","4","",""
"","6997","image-button-response","19","null","178607","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S89_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial4.png","3","",""
"","6019","image-button-response","20","null","185134","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","2","S50_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial2.png","2","",""
"","6088","image-button-response","21","null","191733","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S110_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial5.png","2","",""
"","5202","image-button-response","22","null","197445","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","1","S19_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial1.png","2","",""
"","5024","image-button-response","23","null","202980","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","2","S20_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial2.png","1","",""
"","6178","image-button-response","24","null","209670","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S31_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial5.png","2","",""
"","6083","image-button-response","25","null","216265","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","1","S111_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial1.png","5","",""
"","9888","image-button-response","26","null","226664","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","1","S89_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial1.png","4","",""
"","6171","image-button-response","27","null","233345","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","3","S19_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial3.png","2","",""
"","4173","image-button-response","28","null","238029","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S50_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial4.png","2","",""
"","6248","image-button-response","29","null","244788","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S18_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial4.png","1","",""
"","5883","image-button-response","30","null","251181","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S30_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial5.png","2","",""
"","7215","image-button-response","31","null","258906","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","3","S88_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial3.png","3","",""
"","7071","image-button-response","32","null","266488","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S71_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial4.png","4","",""
"","10937","image-button-response","33","null","277937","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S72_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial4.png","3","",""
"","7482","image-button-response","34","null","285930","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S1_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial5.png","1","",""
"","8695","image-button-response","35","null","295137","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S49_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial5.png","3","",""
"","6859","image-button-response","36","null","302506","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S50_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial5.png","5","",""
"","5330","image-button-response","37","null","308343","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","5","S111_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial5.png","5","",""
"","5303","image-button-response","38","null","314158","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","4","S90_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial4.png","5","",""
"","4774","image-button-response","39","null","319448","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","2","S71_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial2.png","5","",""
"","7548","image-button-response","40","null","327509","68895b4cc3548521ab78eeca","688a7ad89dd2b70b91009576","604bd44cb5668ba12cc9376e","3","S109_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial3.png","5","",""
