"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":16368},{""page_index"":1,""viewing_time"":29628},{""page_index"":2,""viewing_time"":10623},{""page_index"":3,""viewing_time"":2559},{""page_index"":4,""viewing_time"":8040}]","67218","instructions","0","null","67230","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","","","","","","","",""
"","9058","image-button-response","1","null","77304","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","3","S24_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial3.png","3","",""
"","2579","image-button-response","2","null","80394","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","4","S64_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial4.png","4","",""
"","1589","image-button-response","3","null","82491","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","3","S43_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial3.png","4","",""
"","1802","image-button-response","4","null","84796","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","3","S41_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial3.png","4","",""
"","6207","image-button-response","5","null","91521","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","5","S64_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial5.png","4","",""
"","8041","image-button-response","6","null","100068","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","1","S100_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial1.png","5","",""
"","3094","image-button-response","7","null","103682","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","4","S23_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial4.png","3","",""
"","2139","image-button-response","8","null","106330","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","3","S103_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial3.png","4","",""
"","3928","image-button-response","9","null","110770","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","5","S82_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial5.png","4","",""
"","3816","image-button-response","10","null","115099","68895b4cc3548521ab78eeca","688993e253bb8e7dd533a2de","604d8f415e948938fd60b536","3","S82_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial3.png","4","",""
