"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":10169},{""page_index"":1,""viewing_time"":6498},{""page_index"":2,""viewing_time"":2275},{""page_index"":3,""viewing_time"":1889},{""page_index"":4,""viewing_time"":1724}]","22556","instructions","0","null","22575","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","","","","","","","",""
"","5150","image-button-response","1","null","28729","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S31_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial5.png","3","",""
"","3693","image-button-response","2","null","32924","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S89_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial3.png","2","",""
"","2414","image-button-response","3","null","35839","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","4","S89_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial4.png","4","",""
"","2139","image-button-response","4","null","38480","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","2","S89_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial2.png","4","",""
"","2416","image-button-response","5","null","41397","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","4","S71_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial4.png","4","",""
"","3247","image-button-response","6","null","45146","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","1","S111_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial1.png","3","",""
"","2013","image-button-response","7","null","47661","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","2","S110_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial2.png","4","",""
"","1566","image-button-response","8","null","49729","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","2","S70_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial2.png","4","",""
"","2061","image-button-response","9","null","52292","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","4","S50_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial4.png","3","",""
"","3751","image-button-response","10","null","56545","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S89_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial5.png","3","",""
"","2521","image-button-response","11","null","59567","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","2","S71_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial2.png","4","",""
"","3703","image-button-response","12","null","63772","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","2","S30_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial2.png","2","",""
"","1202","image-button-response","13","null","65476","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S30_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial3.png","2","",""
"","2016","image-button-response","14","null","67995","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S88_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial3.png","3","",""
"","2832","image-button-response","15","null","71329","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","4","S19_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial4.png","1","",""
"","1990","image-button-response","16","null","73820","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S1_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial5.png","2","",""
"","1876","image-button-response","17","null","76198","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","1","S51_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial1.png","2","",""
"","2680","image-button-response","18","null","79380","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","1","S110_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial1.png","3","",""
"","2019","image-button-response","19","null","81900","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","2","S1_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial2.png","2","",""
"","1748","image-button-response","20","null","84149","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","4","S51_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial4.png","4","",""
"","2147","image-button-response","21","null","86797","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S19_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial5.png","2","",""
"","1874","image-button-response","22","null","89172","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","2","S50_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial2.png","3","",""
"","1666","image-button-response","23","null","91340","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S50_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial3.png","4","",""
"","2164","image-button-response","24","null","94005","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S51_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial3.png","2","",""
"","2153","image-button-response","25","null","96659","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","2","S109_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial2.png","5","",""
"","1769","image-button-response","26","null","98929","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S90_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial5.png","5","",""
"","1868","image-button-response","27","null","101299","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S19_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial3.png","2","",""
"","1087","image-button-response","28","null","102888","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S30_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial5.png","2","",""
"","1894","image-button-response","29","null","105284","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S70_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial3.png","4","",""
"","1815","image-button-response","30","null","107601","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","1","S29_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial1.png","2","",""
"","1805","image-button-response","31","null","109908","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S29_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial3.png","1","",""
"","4054","image-button-response","32","null","114463","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","4","S30_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial4.png","2","",""
"","2178","image-button-response","33","null","117142","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S71_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial5.png","5","",""
"","1819","image-button-response","34","null","119463","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S70_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial5.png","5","",""
"","1257","image-button-response","35","null","121222","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","1","S30_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial1.png","4","",""
"","2173","image-button-response","36","null","123897","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S110_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial3.png","2","",""
"","2379","image-button-response","37","null","126778","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","4","S72_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial4.png","2","",""
"","1416","image-button-response","38","null","128695","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","5","S50_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial5.png","4","",""
"","1579","image-button-response","39","null","130775","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","1","S70_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial1.png","4","",""
"","2533","image-button-response","40","null","133810","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","3","S18_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial3.png","1","",""
"","1921","image-button-response","41","null","136233","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","1","S89_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial1.png","5","",""
"","1636","image-button-response","42","null","138370","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","1","S90_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial1.png","4","",""
"","1330","image-button-response","43","null","140201","68895b4cc3548521ab78eeca","688a79c7ac178b1bd75c5186","60fdd5214fe9e80b975361bd","4","S90_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial4.png","4","",""
