"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":4555},{""page_index"":1,""viewing_time"":7063},{""page_index"":2,""viewing_time"":9272},{""page_index"":3,""viewing_time"":8528},{""page_index"":4,""viewing_time"":3616}]","33035","instructions","0","null","33059","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","","","","","","","",""
"","5531","image-button-response","1","null","39619","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","5","S43_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial5.png","4","",""
"","4993","image-button-response","2","null","45122","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","3","S104_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial3.png","4","",""
"","4255","image-button-response","3","null","49890","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","2","S43_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial2.png","4","",""
"","5981","image-button-response","4","null","56386","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","1","S82_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial1.png","2","",""
"","6070","image-button-response","5","null","62970","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","2","S64_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial2.png","4","",""
"","6017","image-button-response","6","null","69490","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","2","S104_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial2.png","4","",""
"","4016","image-button-response","7","null","74010","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","1","S83_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial1.png","5","",""
"","4128","image-button-response","8","null","78642","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","4","S23_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial4.png","1","",""
"","4430","image-button-response","9","null","83586","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","5","S44_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial5.png","3","",""
"","4516","image-button-response","10","null","88618","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","5","S83_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial5.png","4","",""
"","4191","image-button-response","11","null","93314","68895b4cc3548521ab78eeca","688999b6c10d744d179c6dae","616d9ef881036dfbfd63d2f4","2","S12_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial2.png","3","",""
