"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":1963},{""page_index"":1,""viewing_time"":9573},{""page_index"":2,""viewing_time"":4082},{""page_index"":3,""viewing_time"":3176},{""page_index"":4,""viewing_time"":2480}]","21273","instructions","0","null","21280","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","","","","","","","",""
"","6315","image-button-response","1","null","28612","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","1","S14_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial1.png","4","",""
"","6678","image-button-response","2","null","35801","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","3","S64_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial3.png","5","",""
"","4502","image-button-response","3","null","40818","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","3","S82_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial3.png","5","",""
"","3516","image-button-response","4","null","44848","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","3","S44_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial3.png","5","",""
"","2526","image-button-response","5","null","47887","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","5","S44_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial5.png","5","",""
"","3550","image-button-response","6","null","51954","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","4","S13_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial4.png","4","",""
"","2824","image-button-response","7","null","55291","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","5","S64_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial5.png","5","",""
"","2500","image-button-response","8","null","58301","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","5","S12_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial5.png","5","",""
"","2315","image-button-response","9","null","61130","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","4","S106_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial4.png","5","",""
"","3204","image-button-response","10","null","64850","68895b4cc3548521ab78eeca","6889c8a08f0a691ae230127f","631c8e97db06f601f81bd82f","5","S104_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial5.png","5","",""
