"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":19993},{""page_index"":1,""viewing_time"":46869},{""page_index"":2,""viewing_time"":8248},{""page_index"":3,""viewing_time"":8136},{""page_index"":4,""viewing_time"":8376}]","91622","instructions","0","null","91631","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","","","","","","","",""
"","18504","image-button-response","1","null","111151","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","3","S22_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial3.png","4","",""
"","5440","image-button-response","2","null","117095","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","2","S82_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial2.png","4","",""
"","4003","image-button-response","3","null","121615","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","1","S63_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial1.png","4","",""
"","6950","image-button-response","4","null","129071","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","4","S63_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial4.png","4","",""
"","5593","image-button-response","5","null","135167","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","4","S81_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial4.png","5","",""
"","4793","image-button-response","6","null","140463","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","3","S41_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial3.png","4","",""
"","7246","image-button-response","7","null","148215","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","4","S22_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial4.png","4","",""
"","4784","image-button-response","8","null","153503","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","4","S64_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial4.png","4","",""
"","7503","image-button-response","9","null","161519","68895b4cc3548521ab78eeca","68898c7de380e0fa864d774d","639b9ab341f4429b1b3c06a2","5","S63_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial5.png","4","",""
