"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":3335},{""page_index"":1,""viewing_time"":2535},{""page_index"":2,""viewing_time"":3052},{""page_index"":3,""viewing_time"":1216},{""page_index"":4,""viewing_time"":1527}]","11667","instructions","0","null","11675","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","","","","","","","",""
"","4736","image-button-response","1","null","17419","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S63_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial4.png","4","",""
"","7134","image-button-response","2","null","25059","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","3","S24_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial3.png","3","",""
"","8830","image-button-response","3","null","34393","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","2","S63_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial2.png","5","",""
"","6912","image-button-response","4","null","41816","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S105_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial1.png","5","",""
"","4900","image-button-response","5","null","47218","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","5","S103_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial5.png","4","",""
"","5499","image-button-response","6","null","53232","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","5","S104_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial5.png","4","",""
"","6484","image-button-response","7","null","60220","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S12_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial1.png","4","",""
"","3971","image-button-response","8","null","64696","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","3","S82_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial3.png","5","",""
"","4833","image-button-response","9","null","70042","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","3","S83_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial3.png","4","",""
"","7794","image-button-response","10","null","78351","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","2","S43_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial2.png","4","",""
"","3625","image-button-response","11","null","82492","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S13_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial1.png","4","",""
"","1825","image-button-response","12","null","84832","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","2","S24_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial2.png","3","",""
"","1835","image-button-response","13","null","87180","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","2","S104_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial2.png","4","",""
"","2160","image-button-response","14","null","89852","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S104_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial4.png","4","",""
"","3573","image-button-response","15","null","93932","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S105_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial4.png","4","",""
"","2424","image-button-response","16","null","96871","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","5","S12_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial5.png","4","",""
"","22202","image-button-response","17","null","119584","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","3","S63_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial3.png","4","",""
"","11358","image-button-response","18","null","131457","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S83_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial4.png","3","",""
"","35337","image-button-response","19","null","167296","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S43_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial4.png","3","",""
"","4171","image-button-response","20","null","171982","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","3","S12_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial3.png","5","",""
"","5397","image-button-response","21","null","177896","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S43_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial1.png","5","",""
"","2991","image-button-response","22","null","181395","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","5","S24_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial5.png","2","",""
"","5296","image-button-response","23","null","187198","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S64_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial4.png","3","",""
"","117834","image-button-response","24","null","305551","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","5","S63_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial5.png","3","",""
"","6736","image-button-response","25","null","312799","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S12_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial4.png","3","",""
"","5381","image-button-response","26","null","318697","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S44_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial1.png","4","",""
"","78198","image-button-response","27","null","397411","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S44_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial4.png","3","",""
"","10499","image-button-response","28","null","408417","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","3","S23_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial3.png","1","",""
"","6995","image-button-response","29","null","415915","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S82_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial1.png","4","",""
"","8215","image-button-response","30","null","424639","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","4","S13_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial4.png","2","",""
"","7723","image-button-response","31","null","432865","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","5","S13_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial5.png","2","",""
"","16406","image-button-response","32","null","449778","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","3","S64_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial3.png","3","",""
"","7409","image-button-response","33","null","457694","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","2","S83_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial2.png","4","",""
"","35643","image-button-response","34","null","493849","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S64_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial1.png","2","",""
"","7425","image-button-response","35","null","501779","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","2","S14_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial2.png","2","",""
"","5286","image-button-response","36","null","507582","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S63_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial1.png","4","",""
"","8760","image-button-response","37","null","516849","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","2","S44_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial2.png","3","",""
"","11172","image-button-response","38","null","528533","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S104_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial1.png","5","",""
"","12714","image-button-response","39","null","541761","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","3","S43_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial3.png","3","",""
"","5809","image-button-response","40","null","548075","68895b4cc3548521ab78eeca","6889c1db5772b9f83772e704","650ee274aa4447ac435b7830","1","S24_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial1.png","1","",""
