"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":12145},{""page_index"":1,""viewing_time"":8795},{""page_index"":2,""viewing_time"":8020},{""page_index"":3,""viewing_time"":5267},{""page_index"":4,""viewing_time"":11405}]","45632","instructions","0","null","45651","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","","","","","","","",""
"","10033","image-button-response","1","null","56698","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S15_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial1.png","2","",""
"","9681","image-button-response","2","null","66904","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S47_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial4.png","4","",""
"","8419","image-button-response","3","null","75827","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S47_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial1.png","4","",""
"","4957","image-button-response","4","null","81300","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S47_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial5.png","4","",""
"","4516","image-button-response","5","null","86334","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S67_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial5.png","4","",""
"","4926","image-button-response","6","null","91768","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S27_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial4.png","2","",""
"","4179","image-button-response","7","null","96464","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S86_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial2.png","4","",""
"","3873","image-button-response","8","null","100851","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S16_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial5.png","1","",""
"","2790","image-button-response","9","null","104145","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S15_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial3.png","1","",""
"","3267","image-button-response","10","null","107917","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S48_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial1.png","2","",""
"","2570","image-button-response","11","null","110996","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S26_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial3.png","2","",""
"","3562","image-button-response","12","null","115068","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","6914","image-button-response","13","null","122496","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S106_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial2.png","4","",""
"","4085","image-button-response","14","null","127090","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S18_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial2.png","2","",""
"","4968","image-button-response","15","null","132564","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S85_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial1.png","5","",""
"","4484","image-button-response","16","null","137553","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S67_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial2.png","5","",""
"","4717","image-button-response","17","null","142779","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S107_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial3.png","5","",""
"","6647","image-button-response","18","null","149931","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S28_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial4.png","4","",""
"","11178","image-button-response","19","null","161623","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S107_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial5.png","4","",""
"","8158","image-button-response","20","null","170284","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S48_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial2.png","2","",""
"","4884","image-button-response","21","null","175671","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S68_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial3.png","4","",""
"","3732","image-button-response","22","null","179921","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S108_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial1.png","5","",""
"","4530","image-button-response","23","null","184954","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S87_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S87_age8_trial2.png","4","",""
"","3247","image-button-response","24","null","188703","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S86_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial5.png","4","",""
"","3755","image-button-response","25","null","192961","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S16_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial1.png","2","",""
"","4449","image-button-response","26","null","197926","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S67_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial4.png","5","",""
"","3852","image-button-response","27","null","202290","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S48_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial5.png","1","",""
"","4010","image-button-response","28","null","206809","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S86_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial1.png","4","",""
"","3662","image-button-response","29","null","210973","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S67_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial3.png","5","",""
"","3085","image-button-response","30","null","214568","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S27_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial1.png","4","",""
"","3473","image-button-response","31","null","218547","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S68_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial5.png","4","",""
"","3707","image-button-response","32","null","222758","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S68_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial2.png","4","",""
"","5293","image-button-response","33","null","228555","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S107_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial4.png","5","",""
"","3699","image-button-response","34","null","232757","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S27_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial5.png","4","",""
"","3802","image-button-response","35","null","237061","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S48_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial4.png","2","",""
"","3626","image-button-response","36","null","241203","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S47_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial2.png","4","",""
"","3479","image-button-response","37","null","245198","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","1","S68_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial1.png","5","",""
"","2617","image-button-response","38","null","248331","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S28_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial5.png","4","",""
"","2553","image-button-response","39","null","251396","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S28_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial2.png","4","",""
"","3365","image-button-response","40","null","255267","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S87_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S87_age8_trial5.png","4","",""
"","3653","image-button-response","41","null","259431","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S17_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial4.png","4","",""
"","3543","image-button-response","42","null","263481","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S86_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial4.png","5","",""
"","3576","image-button-response","43","null","267561","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S68_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial4.png","4","",""
"","5959","image-button-response","44","null","274035","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S17_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial5.png","2","",""
"","2923","image-button-response","45","null","277475","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S27_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial3.png","2","",""
"","3913","image-button-response","46","null","281895","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S47_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial3.png","4","",""
"","3658","image-button-response","47","null","286066","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S108_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial3.png","5","",""
"","4325","image-button-response","48","null","290908","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","2","S107_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial2.png","5","",""
"","3593","image-button-response","49","null","295004","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","5","S108_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial5.png","4","",""
"","5540","image-button-response","50","null","301054","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","4","S87_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S87_age8_trial4.png","2","",""
"","3792","image-button-response","51","null","305350","68895b4cc3548521ab78eeca","688a265fa5643b118ba84a68","651c2cc23704dc10500ae77c","3","S48_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial3.png","2","",""
