"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":286682},{""page_index"":1,""viewing_time"":4885},{""page_index"":2,""viewing_time"":2692},{""page_index"":3,""viewing_time"":1230},{""page_index"":4,""viewing_time"":2336}]","297826","instructions","0","null","297842","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","","","","","","","",""
"","6445","image-button-response","1","null","305301","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","2","S72_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial2.png","5","",""
"","3425","image-button-response","2","null","309232","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","4","S71_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial4.png","5","",""
"","3725","image-button-response","3","null","313464","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S72_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial1.png","5","",""
"","2395","image-button-response","4","null","316362","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S90_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial1.png","4","",""
"","2965","image-button-response","5","null","319839","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S71_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial1.png","4","",""
"","2958","image-button-response","6","null","323313","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S89_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial1.png","4","",""
"","3219","image-button-response","7","null","327042","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S111_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial1.png","4","",""
"","2806","image-button-response","8","null","330367","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S20_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial5.png","2","",""
"","2794","image-button-response","9","null","333675","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S111_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial5.png","5","",""
"","1759","image-button-response","10","null","335943","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S90_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial5.png","4","",""
"","1686","image-button-response","11","null","338133","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S30_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial1.png","4","",""
"","2610","image-button-response","12","null","341256","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S111_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial3.png","5","",""
"","2072","image-button-response","13","null","343839","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S112_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial3.png","5","",""
"","1665","image-button-response","14","null","346012","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","2","S52_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial2.png","4","",""
"","2922","image-button-response","15","null","349438","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S112_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial5.png","5","",""
"","1674","image-button-response","16","null","351620","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S1_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial5.png","2","",""
"","1919","image-button-response","17","null","354047","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S31_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial1.png","4","",""
"","2009","image-button-response","18","null","356568","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S32_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial3.png","3","",""
"","2245","image-button-response","19","null","359323","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S51_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial5.png","3","",""
"","2205","image-button-response","20","null","362043","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","4","S72_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial4.png","4","",""
"","2562","image-button-response","21","null","365122","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","4","S112_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial4.png","4","",""
"","3202","image-button-response","22","null","368842","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","4","S1_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial4.png","3","",""
"","1994","image-button-response","23","null","371339","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S51_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial3.png","3","",""
"","1929","image-button-response","24","null","373783","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S52_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial5.png","4","",""
"","1843","image-button-response","25","null","376142","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S90_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial3.png","4","",""
"","2380","image-button-response","26","null","379026","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S19_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial1.png","3","",""
"","2049","image-button-response","27","null","381578","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S70_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial3.png","5","",""
"","1696","image-button-response","28","null","383782","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S71_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial3.png","4","",""
"","1883","image-button-response","29","null","386171","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","4","S29_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial4.png","2","",""
"","1262","image-button-response","30","null","387950","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S32_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial5.png","2","",""
"","1402","image-button-response","31","null","389868","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","4","S30_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial4.png","2","",""
"","2755","image-button-response","32","null","393139","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S71_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial5.png","3","",""
"","1989","image-button-response","33","null","395635","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","1550","image-button-response","34","null","397720","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S31_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial3.png","2","",""
"","2508","image-button-response","35","null","400734","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","2","S90_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial2.png","3","",""
"","2533","image-button-response","36","null","403780","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","2","S110_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial2.png","4","",""
"","1388","image-button-response","37","null","405677","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S1_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial1.png","3","",""
"","1405","image-button-response","38","null","407585","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S1_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial3.png","3","",""
"","2023","image-button-response","39","null","410113","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S52_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial3.png","3","",""
"","1395","image-button-response","40","null","412017","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S51_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial1.png","3","",""
"","2062","image-button-response","41","null","414591","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","2","S91_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial2.png","4","",""
"","1508","image-button-response","42","null","416601","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","4","S90_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial4.png","4","",""
"","1444","image-button-response","43","null","418551","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","1","S50_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial1.png","4","",""
"","2215","image-button-response","44","null","421272","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S19_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial3.png","2","",""
"","2314","image-button-response","45","null","424110","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S31_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial5.png","2","",""
"","2632","image-button-response","46","null","427250","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","2","S111_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial2.png","5","",""
"","1625","image-button-response","47","null","429392","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","3","S89_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial3.png","4","",""
"","1656","image-button-response","48","null","431557","68895b4cc3548521ab78eeca","688a8c69b819a265f0c428d7","654f89366d18132f256b529d","5","S72_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial5.png","4","",""
