"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":4411},{""page_index"":1,""viewing_time"":3461},{""page_index"":2,""viewing_time"":7803},{""page_index"":3,""viewing_time"":4526},{""page_index"":4,""viewing_time"":3386}]","23588","instructions","0","null","23599","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","","","","","","","",""
"","2605","image-button-response","1","null","27210","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","4","S31_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial4.png","4","",""
"","2471","image-button-response","2","null","30183","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","3","S32_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial3.png","4","",""
"","4136","image-button-response","3","null","34820","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","4","S113_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial4.png","5","",""
"","3656","image-button-response","4","null","38978","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","2","S2_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial2.png","3","",""
"","2245","image-button-response","5","null","41726","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","1","S112_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial1.png","5","",""
"","1887","image-button-response","6","null","44115","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","5","S33_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial5.png","4","",""
"","3084","image-button-response","7","null","47701","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","4","S91_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial4.png","5","",""
"","4670","image-button-response","8","null","52874","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","4","S32_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial4.png","4","",""
"","5319","image-button-response","9","null","58695","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","5","S51_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial5.png","3","",""
"","1626","image-button-response","10","null","60824","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","3","S91_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial3.png","5","",""
"","1716","image-button-response","11","null","63043","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","3","S31_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial3.png","5","",""
"","1505","image-button-response","12","null","65050","68895b4cc3548521ab78eeca","688aa8fd81cc3a60a0c9a6e0","65e00891e4c0c8cad9c1583a","1","S32_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial1.png","5","",""
