view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,study_id,session_id,participant_id,tracing_type,tracing_id,catch_trial,prep_trial,stimulus,response,sketcher_category,response_category
"[{""page_index"":0,""viewing_time"":22174},{""page_index"":1,""viewing_time"":36509},{""page_index"":2,""viewing_time"":19524},{""page_index"":3,""viewing_time"":13647},{""page_index"":4,""viewing_time"":13669}]",105523,instructions,0,null,105537,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,,,,,,,,
,12555,image-button-response,1,null,119119,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,,,TRUE,FALSE,stimuli/catch_trials/catch_trial.png,0,,1
,6027,image-button-response,2,null,125664,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,5,S113_age9_trial5.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial5.png,5,,
,9516,image-button-response,3,null,135687,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,1,S2_age4_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial1.png,4,,
,14679,image-button-response,4,null,150881,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,4,S31_age5_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial4.png,3,,
,7089,image-button-response,5,null,158486,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,1,S91_age8_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial1.png,5,,
,15605,image-button-response,6,null,174603,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,3,S72_age7_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial3.png,4,,
,4664,image-button-response,7,null,179779,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,2,S33_age5_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial2.png,2,,
,7183,image-button-response,8,null,187473,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,3,S54_age6_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial3.png,4,,
,3431,image-button-response,9,null,191410,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,4,S113_age9_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial4.png,5,,
,4292,image-button-response,10,null,196214,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,1,S53_age6_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial1.png,3,,
,4158,image-button-response,11,null,200880,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,2,S54_age6_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial2.png,4,,
,5118,image-button-response,12,null,206504,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,2,S74_age7_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial2.png,4,,
,4507,image-button-response,13,null,211516,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,1,S92_age8_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial1.png,5,,
,4310,image-button-response,14,null,216332,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,3,S2_age4_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial3.png,3,,
,3953,image-button-response,15,null,220792,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,3,S32_age5_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial3.png,3,,
,1905,image-button-response,16,null,223207,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,4,S74_age7_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial4.png,4,,
,3392,image-button-response,17,null,227109,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,2,S73_age7_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial2.png,4,,
,1515,image-button-response,18,null,229133,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,1,S113_age9_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial1.png,5,,
,2901,image-button-response,19,null,232540,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,3,S31_age5_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial3.png,3,,
,2072,image-button-response,20,null,235122,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,4,S53_age6_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial4.png,4,,
,2283,image-button-response,21,null,237908,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,3,S73_age7_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial3.png,5,,
,1525,image-button-response,22,null,239946,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,2,S113_age9_trial2.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial2.png,5,,
,1600,image-button-response,23,null,242054,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,1,S72_age7_trial1.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial1.png,4,,
,1988,image-button-response,24,null,244544,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,3,S53_age6_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial3.png,4,,
,1739,image-button-response,25,null,246789,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,4,S91_age8_trial4.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial4.png,5,,
,3108,image-button-response,26,null,250411,68895b4cc3548521ab78eeca,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,3,S92_age8_trial3.png,FALSE,FALSE,https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial3.png,5,,
