"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":62413},{""page_index"":1,""viewing_time"":4743},{""page_index"":2,""viewing_time"":7644},{""page_index"":3,""viewing_time"":4001},{""page_index"":4,""viewing_time"":1411}]","80213","instructions","0","null","80230","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","","","","","","","",""
"","5261","image-button-response","1","null","86499","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","4","S27_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial4.png","2","",""
"","24198","image-button-response","2","null","111199","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","5","S86_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial5.png","2","",""
"","5209","image-button-response","3","null","116911","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","1","S86_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial1.png","1","",""
"","3586","image-button-response","4","null","121000","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","3","S28_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial3.png","2","",""
"","80983","image-button-response","5","null","202483","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","4","S48_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial4.png","1","",""
"","8767","image-button-response","6","null","211753","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","5","S17_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial5.png","2","",""
"","9157","image-button-response","7","null","221412","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","1","S28_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial1.png","2","",""
"","6000","image-button-response","8","null","227916","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","1","S108_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial1.png","3","",""
"","7379","image-button-response","9","null","235797","68895b4cc3548521ab78eeca","688a319cb460db41a4604df2","65e74f3dd1cf1c6869f7af37","1","S67_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial1.png","2","",""
