"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":13679},{""page_index"":1,""viewing_time"":11518},{""page_index"":2,""viewing_time"":11601},{""page_index"":3,""viewing_time"":6050},{""page_index"":4,""viewing_time"":22802}]","65649","instructions","0","null","65655","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","","","","","","","",""
"","11917","image-button-response","1","null","78589","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","1","S42_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial1.png","3","",""
"","4262","image-button-response","2","null","83355","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","2","S22_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial2.png","4","",""
"","8599","image-button-response","3","null","92472","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","5","S101_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial5.png","5","",""
"","3410","image-button-response","4","null","96388","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","4","S11_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial4.png","1","",""
"","3095","image-button-response","5","null","99989","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","2","S82_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial2.png","5","",""
"","3929","image-button-response","6","null","104423","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","3","S22_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial3.png","4","",""
"","4412","image-button-response","7","null","109341","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","3","S43_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial3.png","4","",""
"","3613","image-button-response","8","null","113457","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","5","S21_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial5.png","4","",""
"","2477","image-button-response","9","null","116440","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","2","S101_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial2.png","5","",""
"","4626","image-button-response","10","null","121572","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","3","S100_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial3.png","3","",""
"","4128","image-button-response","11","null","126208","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","4","S102_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial4.png","4","",""
"","4314","image-button-response","12","null","131041","68895b4cc3548521ab78eeca","6889867bc8346bfd586c854c","6612d5d5abf4df0d84f44b3e","3","S101_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial3.png","5","",""
