"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":8754},{""page_index"":1,""viewing_time"":86688},{""page_index"":2,""viewing_time"":7386},{""page_index"":3,""viewing_time"":6264},{""page_index"":4,""viewing_time"":12710}]","121802","instructions","0","null","121813","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","","","","","","","",""
"","37066","image-button-response","1","null","159887","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S92_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial5.png","5","",""
"","2971","image-button-response","2","null","163366","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S91_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial1.png","5","",""
"","5644","image-button-response","3","null","169514","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S74_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial2.png","4","",""
"","4906","image-button-response","4","null","174933","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S31_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial4.png","3","",""
"","4276","image-button-response","5","null","179714","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S53_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial1.png","4","",""
"","321965","image-button-response","6","null","502186","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S1_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial4.png","3","",""
"","28716","image-button-response","7","null","531405","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S20_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial1.png","3","",""
"","3408","image-button-response","8","null","535319","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S34_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial2.png","2","",""
"","3247","image-button-response","9","null","539079","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S2_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial5.png","2","",""
"","2969","image-button-response","10","null","542551","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S92_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial3.png","4","",""
"","3579","image-button-response","11","null","546637","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S93_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial4.png","5","",""
"","3564","image-button-response","12","null","550706","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S53_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial3.png","5","",""
"","5933","image-button-response","13","null","557149","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S32_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial4.png","3","",""
"","5358","image-button-response","14","null","563023","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S3_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial2.png","1","",""
"","3087","image-button-response","15","null","566617","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S113_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial1.png","4","",""
"","83805","image-button-response","16","null","650925","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S73_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial5.png","4","",""
"","2607","image-button-response","17","null","654042","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S73_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial1.png","5","",""
"","1796","image-button-response","18","null","656342","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S73_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial4.png","4","",""
"","2284","image-button-response","19","null","659132","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S74_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial5.png","3","",""
"","2175","image-button-response","20","null","661822","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S54_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial3.png","3","",""
"","2011","image-button-response","21","null","664352","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S112_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial2.png","4","",""
"","1667","image-button-response","22","null","666534","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S54_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial2.png","5","",""
"","1860","image-button-response","23","null","668906","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S74_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial1.png","5","",""
"","1427","image-button-response","24","null","670838","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S92_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial4.png","4","",""
"","3182","image-button-response","25","null","674534","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S52_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial1.png","3","",""
"","12084","image-button-response","26","null","687123","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S92_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial2.png","4","",""
"","2419","image-button-response","27","null","690059","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S113_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial3.png","5","",""
"","1519","image-button-response","28","null","692087","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S92_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial1.png","4","",""
"","1780","image-button-response","29","null","694381","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S73_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial3.png","4","",""
"","2511","image-button-response","30","null","697401","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S33_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial5.png","1","",""
"","2587","image-button-response","31","null","700491","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S2_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial1.png","3","",""
"","6248","image-button-response","32","null","707250","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S73_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial2.png","3","",""
"","2477","image-button-response","33","null","710230","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S52_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial5.png","4","",""
"","1938","image-button-response","34","null","712687","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S91_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial3.png","4","",""
"","2180","image-button-response","35","null","715382","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S114_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial1.png","5","",""
"","2395","image-button-response","36","null","718293","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S33_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial2.png","1","",""
"","3391","image-button-response","37","null","722188","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S3_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S3_age4_trial5.png","1","",""
"","2906","image-button-response","38","null","725596","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S20_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial4.png","1","",""
"","2657","image-button-response","39","null","728757","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S53_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial4.png","3","",""
"","8560","image-button-response","40","null","737828","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S33_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S33_age5_trial1.png","2","",""
"","3203","image-button-response","41","null","741533","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S72_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial3.png","3","",""
"","1777","image-button-response","42","null","743815","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S113_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial2.png","5","",""
"","1740","image-button-response","43","null","746057","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S93_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial5.png","4","",""
"","4529","image-button-response","44","null","751090","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S53_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial5.png","3","",""
"","3725","image-button-response","45","null","755317","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","2850","image-button-response","46","null","758678","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S31_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial3.png","2","",""
"","3452","image-button-response","47","null","762633","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S114_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial5.png","5","",""
"","1633","image-button-response","48","null","764783","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S54_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S54_age6_trial4.png","4","",""
"","3098","image-button-response","49","null","768394","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S2_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial3.png","2","",""
"","2557","image-button-response","50","null","771453","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S114_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial4.png","4","",""
"","3256","image-button-response","51","null","775216","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","1","S32_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial1.png","2","",""
"","3183","image-button-response","52","null","778902","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S113_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial5.png","5","",""
"","2508","image-button-response","53","null","781913","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","5","S34_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S34_age5_trial5.png","2","",""
"","2359","image-button-response","54","null","784790","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S93_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S93_age8_trial2.png","5","",""
"","1890","image-button-response","55","null","787183","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S20_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial3.png","1","",""
"","2982","image-button-response","56","null","790672","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S53_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial2.png","3","",""
"","5100","image-button-response","57","null","796289","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S113_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial4.png","3","",""
"","2281","image-button-response","58","null","799081","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","2","S2_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial2.png","1","",""
"","2675","image-button-response","59","null","802267","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S32_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial3.png","3","",""
"","3453","image-button-response","60","null","806228","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","4","S74_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S74_age7_trial4.png","3","",""
"","1803","image-button-response","61","null","808538","68895b4cc3548521ab78eeca","688aaeb3d5a12624047ec24e","66187caf2a94f9051c85c431","3","S114_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S114_age9_trial3.png","4","",""
