"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":21609},{""page_index"":1,""viewing_time"":11968},{""page_index"":2,""viewing_time"":4591},{""page_index"":3,""viewing_time"":12171},{""page_index"":4,""viewing_time"":1960}]","52298","instructions","0","null","52305","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","","","","","","","",""
"","3002","image-button-response","1","null","56325","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","3","S28_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial3.png","3","",""
"","3604","image-button-response","2","null","60445","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","2","S68_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial2.png","4","",""
"","1537","image-button-response","3","null","62487","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","4","S70_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial4.png","4","",""
"","2125","image-button-response","4","null","65117","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","4","S88_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial4.png","2","",""
"","1623","image-button-response","5","null","67254","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","2","S69_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial2.png","4","",""
"","1765","image-button-response","6","null","69522","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","3","S68_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial3.png","4","",""
"","2439","image-button-response","7","null","72466","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","4","S108_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial4.png","3","",""
"","1773","image-button-response","8","null","74745","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","5","S48_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial5.png","1","",""
"","1822","image-button-response","9","null","77079","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","2","S107_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial2.png","4","",""
"","1502","image-button-response","10","null","79086","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","4","S27_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial4.png","2","",""
"","1484","image-button-response","11","null","81073","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","4","S69_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial4.png","3","",""
"","1298","image-button-response","12","null","82894","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","5","S108_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial5.png","3","",""
"","1549","image-button-response","13","null","84949","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","5","S29_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial5.png","1","",""
"","2246","image-button-response","14","null","87698","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","3","S86_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial3.png","3","",""
"","1576","image-button-response","15","null","89787","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","3","S17_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial3.png","3","",""
"","1912","image-button-response","16","null","92209","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","1","S18_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial1.png","2","",""
"","1735","image-button-response","17","null","94447","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","4","S48_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial4.png","1","",""
"","4896","image-button-response","18","null","99846","68895b4cc3548521ab78eeca","688a344ee15972be1e07a5d0","66587c4637981e408edaf59a","2","S49_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial2.png","3","",""
