"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":7260},{""page_index"":1,""viewing_time"":3994},{""page_index"":2,""viewing_time"":3016},{""page_index"":3,""viewing_time"":2071},{""page_index"":4,""viewing_time"":2263}]","18604","instructions","0","null","18609","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","","","","","","","",""
"","4270","image-button-response","1","null","23889","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","3","S90_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial3.png","4","",""
"","2055","image-button-response","2","null","26458","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","5","S32_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial5.png","2","",""
"","2876","image-button-response","3","null","29837","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","5","S20_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial5.png","2","",""
"","1872","image-button-response","4","null","32214","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","2","S53_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial2.png","5","",""
"","1397","image-button-response","5","null","34113","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S2_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S2_age4_trial1.png","5","",""
"","1430","image-button-response","6","null","36047","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S20_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial1.png","4","",""
"","1439","image-button-response","7","null","37999","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S113_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial1.png","5","",""
"","1799","image-button-response","8","null","40299","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","3","S31_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial3.png","3","",""
"","1575","image-button-response","9","null","42387","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","3","S113_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial3.png","4","",""
"","1259","image-button-response","10","null","44153","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","3","S53_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial3.png","5","",""
"","1421","image-button-response","11","null","46084","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","2803","image-button-response","12","null","49392","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","2","S52_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial2.png","5","",""
"","2295","image-button-response","13","null","52188","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","4","S113_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S113_age9_trial4.png","5","",""
"","2298","image-button-response","14","null","54988","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","4","S20_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial4.png","2","",""
"","2713","image-button-response","15","null","58211","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","4","S53_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial4.png","4","",""
"","1455","image-button-response","16","null","60168","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S71_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial1.png","5","",""
"","1815","image-button-response","17","null","62485","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","2","S112_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial2.png","5","",""
"","2089","image-button-response","18","null","65076","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","4","S52_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial4.png","4","",""
"","1599","image-button-response","19","null","67183","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S32_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial1.png","2","",""
"","1801","image-button-response","20","null","69497","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","5","S72_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial5.png","4","",""
"","2571","image-button-response","21","null","72575","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","3","S20_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial3.png","2","",""
"","2305","image-button-response","22","null","75393","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","4","S90_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial4.png","4","",""
"","1913","image-button-response","23","null","77809","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","3","S112_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial3.png","5","",""
"","1722","image-button-response","24","null","80034","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","3","S52_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial3.png","5","",""
"","2005","image-button-response","25","null","82540","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","4","S112_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial4.png","4","",""
"","1871","image-button-response","26","null","84926","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","5","S92_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S92_age8_trial5.png","4","",""
"","1672","image-button-response","27","null","87105","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S53_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S53_age6_trial1.png","4","",""
"","2608","image-button-response","28","null","90218","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","4","S91_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial4.png","5","",""
"","1371","image-button-response","29","null","92090","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S91_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial1.png","5","",""
"","2285","image-button-response","30","null","94876","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","2","S31_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial2.png","3","",""
"","1980","image-button-response","31","null","97358","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S31_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial1.png","4","",""
"","2042","image-button-response","32","null","99914","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","2","S72_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial2.png","4","",""
"","2218","image-button-response","33","null","102636","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","2","S91_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial2.png","5","",""
"","2151","image-button-response","34","null","105289","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","5","S31_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial5.png","3","",""
"","2904","image-button-response","35","null","108700","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","1","S112_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial1.png","3","",""
"","2676","image-button-response","36","null","111888","68895b4cc3548521ab78eeca","688a9a4280addc8486c7d970","6669d0b650f615804a4d534f","5","S73_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S73_age7_trial5.png","3","",""
