"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":5849},{""page_index"":1,""viewing_time"":6667},{""page_index"":2,""viewing_time"":5898},{""page_index"":3,""viewing_time"":2967},{""page_index"":4,""viewing_time"":2566}]","23949","instructions","0","null","23964","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","","","","","","","",""
"","6109","image-button-response","1","null","31082","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","1","S19_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial1.png","2","",""
"","4429","image-button-response","2","null","36015","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","3","S52_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial3.png","4","",""
"","6179","image-button-response","3","null","42699","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","3","S72_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial3.png","3","",""
"","3914","image-button-response","4","null","47115","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","5","S112_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial5.png","5","",""
"","3846","image-button-response","5","null","51466","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","3","S111_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial3.png","3","",""
"","4346","image-button-response","6","null","56315","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","5","S31_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial5.png","2","",""
"","3379","image-button-response","7","null","60199","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","2","S1_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial2.png","2","",""
"","4129","image-button-response","8","null","64832","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","4","S52_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial4.png","4","",""
"","7013","image-button-response","9","null","72349","68895b4cc3548521ab78eeca","688a919bcce125f8358ab339","6675d8be57dcb7f1e395c6e3","2","S111_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial2.png","4","",""
