"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":8099},{""page_index"":1,""viewing_time"":11504},{""page_index"":2,""viewing_time"":4737},{""page_index"":3,""viewing_time"":3583},{""page_index"":4,""viewing_time"":5968}]","33891","instructions","0","null","33897","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","","","","","","","",""
"","4663","image-button-response","1","null","39568","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","3","S63_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial3.png","3","",""
"","2649","image-button-response","2","null","42721","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","1","S44_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial1.png","4","",""
"","2673","image-button-response","3","null","45897","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","1","S24_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial1.png","2","",""
"","1913","image-button-response","4","null","48313","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","2","S23_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial2.png","2","",""
"","3399","image-button-response","5","null","52217","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","2","S44_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial2.png","5","",""
"","2064","image-button-response","6","null","54784","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","2","S64_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial2.png","5","",""
"","3065","image-button-response","7","null","58352","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","5","S44_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial5.png","4","",""
"","2272","image-button-response","8","null","61128","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","5","S23_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial5.png","2","",""
"","1800","image-button-response","9","null","63432","68895b4cc3548521ab78eeca","688998c66af5eea62a0f01f4","66ab2c0196e62d0107412f24","4","S103_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial4.png","5","",""
