"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":4236},{""page_index"":1,""viewing_time"":7433},{""page_index"":2,""viewing_time"":5784},{""page_index"":3,""viewing_time"":4652},{""page_index"":4,""viewing_time"":8381}]","30486","instructions","0","null","30510","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","","","","","","","",""
"","12092","image-button-response","1","null","43617","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","4","S68_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial4.png","4","",""
"","4947","image-button-response","2","null","49079","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S16_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial3.png","2","",""
"","6548","image-button-response","3","null","56135","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S27_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial3.png","3","",""
"","2849","image-button-response","4","null","59492","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","6961","image-button-response","5","null","66976","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","1","S27_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial1.png","3","",""
"","6377","image-button-response","6","null","73867","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S28_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial3.png","4","",""
"","3979","image-button-response","7","null","78352","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","5","S47_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial5.png","5","",""
"","8067","image-button-response","8","null","86923","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S87_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S87_age8_trial3.png","3","",""
"","5075","image-button-response","9","null","92506","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","5","S48_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial5.png","2","",""
"","1977","image-button-response","10","null","94996","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","1","S16_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial1.png","2","",""
"","5255","image-button-response","11","null","100755","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","4","S28_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial4.png","3","",""
"","2412","image-button-response","12","null","103673","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","1","S87_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S87_age8_trial1.png","5","",""
"","6119","image-button-response","13","null","110301","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","2","S49_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial2.png","5","",""
"","2754","image-button-response","14","null","113564","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","4","S86_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial4.png","4","",""
"","6073","image-button-response","15","null","120146","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","2","S27_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial2.png","3","",""
"","7095","image-button-response","16","null","127754","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","5","S86_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial5.png","5","",""
"","5828","image-button-response","17","null","134093","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","1","S86_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial1.png","5","",""
"","2432","image-button-response","18","null","137029","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S108_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial3.png","5","",""
"","4305","image-button-response","19","null","141844","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","5","S68_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial5.png","5","",""
"","4604","image-button-response","20","null","146959","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S107_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial3.png","4","",""
"","1573","image-button-response","21","null","149049","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","5","S108_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial5.png","5","",""
"","2341","image-button-response","22","null","151902","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S48_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial3.png","2","",""
"","4933","image-button-response","23","null","157342","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","2","S28_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial2.png","3","",""
"","6220","image-button-response","24","null","164073","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","2","S107_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial2.png","5","",""
"","2906","image-button-response","25","null","167482","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","4","S109_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial4.png","5","",""
"","1686","image-button-response","26","null","169678","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","2","S67_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial2.png","5","",""
"","2413","image-button-response","27","null","172605","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","2","S86_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial2.png","5","",""
"","3312","image-button-response","28","null","176427","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","4","S108_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial4.png","5","",""
"","2738","image-button-response","29","null","179681","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","5","S69_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial5.png","4","",""
"","1949","image-button-response","30","null","182146","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S68_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial3.png","5","",""
"","13426","image-button-response","31","null","196084","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","3","S49_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial3.png","3","",""
"","8671","image-button-response","32","null","205270","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","5","S28_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial5.png","3","",""
"","5590","image-button-response","33","null","211366","68895b4cc3548521ab78eeca","688a2ff18e81ac02e8eb3cf1","66b76f8175094b4e3a7ad563","4","S17_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial4.png","3","",""
