"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":7954},{""page_index"":1,""viewing_time"":8220},{""page_index"":2,""viewing_time"":8944},{""page_index"":3,""viewing_time"":3647},{""page_index"":4,""viewing_time"":9308}]","38073","instructions","0","null","38080","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","","","","","","","",""
"","7092","image-button-response","1","null","46180","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","4","S101_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial4.png","4","",""
"","5276","image-button-response","2","null","51970","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","3","S11_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial3.png","2","",""
"","2767","image-button-response","3","null","55254","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","2","S101_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial2.png","4","",""
"","3065","image-button-response","4","null","58834","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","2","S100_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial2.png","5","",""
"","3208","image-button-response","5","null","62556","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","3","S42_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial3.png","5","",""
"","3152","image-button-response","6","null","66212","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","3","S10_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial3.png","4","",""
"","3799","image-button-response","7","null","70529","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","1","S100_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial1.png","5","",""
"","2423","image-button-response","8","null","73463","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","2","S61_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial2.png","5","",""
"","2819","image-button-response","9","null","76790","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","2","S81_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial2.png","5","",""
"","2221","image-button-response","10","null","79520","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","2","S62_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial2.png","5","",""
"","1579","image-button-response","11","null","81602","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","1","S41_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial1.png","5","",""
"","4611","image-button-response","12","null","86717","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","3","S81_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial3.png","5","",""
"","2499","image-button-response","13","null","89721","68895b4cc3548521ab78eeca","688964170178ab22da8d065a","66bbdb718eac7b2d0d21edf7","2","S21_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial2.png","5","",""
