"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":11379},{""page_index"":1,""viewing_time"":17300},{""page_index"":2,""viewing_time"":9297},{""page_index"":3,""viewing_time"":2559},{""page_index"":4,""viewing_time"":8342}]","48892","instructions","0","null","48920","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","","","","","","","",""
"","3493","image-button-response","1","null","53425","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","1","S63_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial1.png","5","",""
"","6043","image-button-response","2","null","59984","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","1","S44_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial1.png","1","",""
"","6380","image-button-response","3","null","66878","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","2","S103_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial2.png","5","",""
"","5536","image-button-response","4","null","72925","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","4","S44_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial4.png","3","",""
"","3548","image-button-response","5","null","76988","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","4","S23_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial4.png","2","",""
"","4434","image-button-response","6","null","81939","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","3","S43_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial3.png","4","",""
"","3125","image-button-response","7","null","85575","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","4","S83_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial4.png","5","",""
"","4490","image-button-response","8","null","90573","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","2","S12_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial2.png","4","",""
"","2669","image-button-response","9","null","93762","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","4","S24_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial4.png","3","",""
"","7044","image-button-response","10","null","101325","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","1","S82_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial1.png","5","",""
"","3538","image-button-response","11","null","105370","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","1","S104_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial1.png","4","",""
"","3648","image-button-response","12","null","109524","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","5","S43_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial5.png","4","",""
"","2942","image-button-response","13","null","112971","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","3","S63_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial3.png","4","",""
"","2560","image-button-response","14","null","116044","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","4","S82_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial4.png","5","",""
"","3153","image-button-response","15","null","119707","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","3","S104_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial3.png","4","",""
"","2069","image-button-response","16","null","122302","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","1","S12_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial1.png","4","",""
"","2147","image-button-response","17","null","124959","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","3","S24_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial3.png","3","",""
"","4342","image-button-response","18","null","129824","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","5","S24_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial5.png","3","",""
"","2520","image-button-response","19","null","132865","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","4","S104_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial4.png","5","",""
"","2198","image-button-response","20","null","135584","68895b4cc3548521ab78eeca","6889a3c82d61d99a5fe09253","66bf6ab25d76db9c95e01458","1","S103_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial1.png","5","",""
