"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":12632},{""page_index"":1,""viewing_time"":9480},{""page_index"":2,""viewing_time"":3836},{""page_index"":3,""viewing_time"":3703},{""page_index"":4,""viewing_time"":3418}]","33069","instructions","0","null","33077","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","","","","","","","",""
"","4994","image-button-response","1","null","39084","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","3","S66_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial3.png","2","",""
"","4928","image-button-response","2","null","44516","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","3","S84_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial3.png","4","",""
"","2445","image-button-response","3","null","47467","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","5","S107_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial5.png","4","",""
"","1463","image-button-response","4","null","49436","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","4","S85_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial4.png","4","",""
"","2537","image-button-response","5","null","52478","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","4","S46_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial4.png","3","",""
"","2241","image-button-response","6","null","55224","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","2","S48_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial2.png","2","",""
"","1385","image-button-response","7","null","57115","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","2","S27_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial2.png","2","",""
"","2979","image-button-response","8","null","60600","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","5","S17_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial5.png","2","",""
"","3129","image-button-response","9","null","64235","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","4","S47_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial4.png","3","",""
"","5008","image-button-response","10","null","69751","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","1","S86_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial1.png","3","",""
"","4084","image-button-response","11","null","74340","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","3","S48_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S48_age6_trial3.png","1","",""
"","7869","image-button-response","12","null","82715","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","5","S28_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial5.png","3","",""
"","3329","image-button-response","13","null","86549","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","2","S68_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S68_age7_trial2.png","2","",""
"","2447","image-button-response","14","null","89502","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","2","S17_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial2.png","2","",""
"","2730","image-button-response","15","null","92743","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","1","S108_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial1.png","4","",""
"","3922","image-button-response","16","null","97170","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","2889","image-button-response","17","null","100563","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","3","S16_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial3.png","1","",""
"","2405","image-button-response","18","null","103474","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","3","S85_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial3.png","4","",""
"","2493","image-button-response","19","null","106477","68895b4cc3548521ab78eeca","688a23ecce3c5674fdcc3e0c","66e7853b4e311a12f93b5411","2","S47_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial2.png","3","",""
