"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":14623},{""page_index"":1,""viewing_time"":11456},{""page_index"":2,""viewing_time"":23646},{""page_index"":3,""viewing_time"":5874},{""page_index"":4,""viewing_time"":13040}]","68639","instructions","0","null","68658","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","","","","","","","",""
"","12820","image-button-response","1","null","82483","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S84_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial1.png","2","",""
"","6536","image-button-response","2","null","89537","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","2","S14_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial2.png","1","",""
"","4541","image-button-response","3","null","94584","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","2","S13_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial2.png","1","",""
"","4107","image-button-response","4","null","99193","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","2","S65_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial2.png","2","",""
"","5233","image-button-response","5","null","104943","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","2","S24_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial2.png","2","",""
"","2692","image-button-response","6","null","108152","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S105_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial1.png","2","",""
"","7582","image-button-response","7","null","116251","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","5","S63_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial5.png","2","",""
"","8491","image-button-response","8","null","125245","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","5","S64_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial5.png","2","",""
"","4575","image-button-response","9","null","130335","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S43_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial1.png","2","",""
"","4277","image-button-response","10","null","135129","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","4","S24_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial4.png","2","",""
"","3578","image-button-response","11","null","139210","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","3","S64_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial3.png","2","",""
"","3060","image-button-response","12","null","142787","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","5","S23_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial5.png","1","",""
"","3062","image-button-response","13","null","146352","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","3","S44_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial3.png","2","",""
"","3158","image-button-response","14","null","150018","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","2","S64_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial2.png","1","",""
"","1923","image-button-response","15","null","152443","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","5","S24_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial5.png","1","",""
"","7416","image-button-response","16","null","160360","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","2","S83_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial2.png","3","",""
"","11626","image-button-response","17","null","172497","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S44_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial1.png","2","",""
"","3848","image-button-response","18","null","176859","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","5","S103_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial5.png","2","",""
"","3850","image-button-response","19","null","181212","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","3","S14_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial3.png","1","",""
"","4256","image-button-response","20","null","185970","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","4","S82_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial4.png","2","",""
"","4621","image-button-response","21","null","191109","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","12310","image-button-response","22","null","203921","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","5","S104_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial5.png","3","",""
"","5593","image-button-response","23","null","210031","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","4","S23_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial4.png","1","",""
"","9696","image-button-response","24","null","220230","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S104_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial1.png","3","",""
"","6403","image-button-response","25","null","227149","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","5","S12_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial5.png","2","",""
"","5819","image-button-response","26","null","233475","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S64_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial1.png","1","",""
"","3884","image-button-response","27","null","237874","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","4","S13_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial4.png","1","",""
"","10757","image-button-response","28","null","249137","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","2","S103_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial2.png","4","",""
"","8491","image-button-response","29","null","258130","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","3","S13_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial3.png","1","",""
"","5041","image-button-response","30","null","263682","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S24_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial1.png","1","",""
"","2819","image-button-response","31","null","267006","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S14_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial1.png","1","",""
"","5155","image-button-response","32","null","272663","68895b4cc3548521ab78eeca","6889c6acdbb418d4c9bd6d29","66ff640a56541edb84433523","1","S63_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial1.png","3","",""
