"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":681069},{""page_index"":1,""viewing_time"":5999},{""page_index"":2,""viewing_time"":65130},{""page_index"":3,""viewing_time"":61784},{""page_index"":4,""viewing_time"":15743}]","829727","instructions","0","null","829778","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","","","","","","","",""
"","30536","image-button-response","1","null","861335","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","3","S32_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial3.png","1","",""
"","23319","image-button-response","2","null","885166","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","1","S72_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial1.png","2","",""
"","2061","image-button-response","3","null","887743","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","2","S91_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial2.png","3","",""
"","1092","image-button-response","4","null","889355","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","5","S91_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S91_age8_trial5.png","2","",""
"","1508","image-button-response","5","null","891383","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","2","S32_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S32_age5_trial2.png","1","",""
"","947","image-button-response","6","null","892842","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","3","S1_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial3.png","2","",""
"","1616","image-button-response","7","null","894968","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","3","S89_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial3.png","4","",""
"","1335","image-button-response","8","null","896814","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","1","S90_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial1.png","2","",""
"","1111","image-button-response","9","null","898440","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","1","S1_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial1.png","4","",""
"","940","image-button-response","10","null","899905","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","3","S111_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial3.png","4","",""
"","48493","image-button-response","11","null","948907","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","1","S89_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial1.png","2","",""
"","4753","image-button-response","12","null","954172","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","1","S71_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial1.png","2","",""
"","553","image-button-response","13","null","955238","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","4","S30_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial4.png","2","",""
"","561","image-button-response","14","null","956315","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","5","S110_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial5.png","1","",""
"","566","image-button-response","15","null","957393","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","2","S111_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial2.png","2","",""
"","464","image-button-response","16","null","958379","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","2","S31_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S31_age5_trial2.png","2","",""
"","1690","image-button-response","17","null","960584","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","1","S111_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial1.png","2","",""
"","1541","image-button-response","18","null","962640","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","5","S90_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial5.png","4","",""
"","73885","image-button-response","19","null","1037040","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","5","S111_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial5.png","2","",""
"","1227","image-button-response","20","null","1038779","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","5","S72_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S72_age7_trial5.png","1","",""
"","668","image-button-response","21","null","1039966","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","1","S50_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial1.png","4","",""
"","934","image-button-response","22","null","1041415","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","2","S52_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S52_age6_trial2.png","2","",""
"","567","image-button-response","23","null","1042497","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","5","S20_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S20_age4_trial5.png","4","",""
"","674","image-button-response","24","null","1043681","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","2","S51_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial2.png","4","",""
"","567","image-button-response","25","null","1044773","68895b4cc3548521ab78eeca","688a82175ea1ac2e8ccf3203","670d8b142f87173ffe3b4763","4","S112_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S112_age9_trial4.png","4","",""
