"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":11086},{""page_index"":1,""viewing_time"":7620},{""page_index"":2,""viewing_time"":5706},{""page_index"":3,""viewing_time"":3072},{""page_index"":4,""viewing_time"":4410}]","31894","instructions","0","null","31900","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","","","","","","","",""
"","6231","image-button-response","1","null","39136","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","3","S44_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial3.png","4","",""
"","3431","image-button-response","2","null","43068","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","5","S26_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial5.png","4","",""
"","1482","image-button-response","3","null","45062","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","4","S66_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial4.png","4","",""
"","1948","image-button-response","4","null","47512","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","3","S84_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial3.png","5","",""
"","1661","image-button-response","5","null","49674","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","2","S15_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial2.png","3","",""
"","1839","image-button-response","6","null","52016","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","4","S14_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial4.png","2","",""
"","2758","image-button-response","7","null","55282","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","3","S13_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial3.png","3","",""
"","3059","image-button-response","8","null","58850","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","5","S15_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial5.png","1","",""
"","6372","image-button-response","9","null","65726","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","1","S13_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial1.png","3","",""
"","5119","image-button-response","10","null","71348","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","4","S65_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial4.png","5","",""
"","1485","image-button-response","11","null","73337","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","3","S66_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial3.png","4","",""
"","1608","image-button-response","12","null","75453","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","1","S26_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial1.png","3","",""
"","2273","image-button-response","13","null","78226","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","1","S85_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial1.png","5","",""
"","2367","image-button-response","14","null","81103","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","5","S84_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial5.png","5","",""
"","2153","image-button-response","15","null","83756","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","5","S14_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial5.png","1","",""
"","2717","image-button-response","16","null","86980","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","1","S84_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial1.png","5","",""
"","3502","image-button-response","17","null","90984","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","1","S46_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial1.png","5","",""
"","4380","image-button-response","18","null","95866","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","2","S45_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial2.png","3","",""
"","4761","image-button-response","19","null","101129","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","5","S104_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial5.png","5","",""
"","3519","image-button-response","20","null","105151","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","3","S45_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial3.png","3","",""
"","4219","image-button-response","21","null","109876","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","5","S65_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial5.png","5","",""
"","4229","image-button-response","22","null","114608","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","4","S106_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial4.png","4","",""
"","3620","image-button-response","23","null","118744","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","5","S66_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial5.png","3","",""
"","5014","image-button-response","24","null","124264","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","1","S106_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial1.png","4","",""
"","3448","image-button-response","25","null","128222","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","3","S25_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial3.png","2","",""
"","3865","image-button-response","26","null","132590","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","2","S65_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial2.png","4","",""
"","4372","image-button-response","27","null","137465","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","5","S45_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial5.png","3","",""
"","3778","image-button-response","28","null","141756","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","1","S25_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial1.png","4","",""
"","4594","image-button-response","29","null","146853","68895b4cc3548521ab78eeca","6889e0620552a354a121a8fc","67178054a368314e6afa5ed4","4","S15_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial4.png","2","",""
