"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":6160},{""page_index"":1,""viewing_time"":5289},{""page_index"":2,""viewing_time"":11085},{""page_index"":3,""viewing_time"":23890},{""page_index"":4,""viewing_time"":23663}]","70087","instructions","0","null","70110","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","","","","","","","",""
"","11489","image-button-response","1","null","82722","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","2","S100_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial2.png","5","",""
"","19836","image-button-response","2","null","103064","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","3","S101_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial3.png","4","",""
"","3513","image-button-response","3","null","107117","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","1","S102_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial1.png","4","",""
"","1705","image-button-response","4","null","109324","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","5","S42_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial5.png","4","",""
"","2925","image-button-response","5","null","112753","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","3","S62_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial3.png","4","",""
"","7970","image-button-response","6","null","121232","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","2","S10_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial2.png","5","",""
"","8247","image-button-response","7","null","130031","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","4","S41_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial4.png","5","",""
"","3374","image-button-response","8","null","133908","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","2","S61_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial2.png","5","",""
"","1505","image-button-response","9","null","135918","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","4","S100_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial4.png","2","",""
"","504","image-button-response","10","null","136929","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","3","S22_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial3.png","2","",""
"","1049","image-button-response","11","null","138483","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","3","S102_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial3.png","4","",""
"","1874","image-button-response","12","null","140925","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","1","S61_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial1.png","5","",""
"","1090","image-button-response","13","null","142524","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","5","S61_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial5.png","5","",""
"","921","image-button-response","14","null","143949","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","2","S62_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial2.png","4","",""
"","1006","image-button-response","15","null","145460","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","4","S11_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial4.png","4","",""
"","474","image-button-response","16","null","146438","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","5","S100_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial5.png","4","",""
"","345","image-button-response","17","null","147285","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","3","S11_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial3.png","4","",""
"","722","image-button-response","18","null","148511","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","5","S21_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial5.png","4","",""
"","656","image-button-response","19","null","149673","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","2","S81_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial2.png","4","",""
"","622","image-button-response","20","null","150818","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","4","S10_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial4.png","4","",""
"","742","image-button-response","21","null","152063","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","5","S102_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial5.png","4","",""
"","542","image-button-response","22","null","153108","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","3","S21_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial3.png","4","",""
"","32276","image-button-response","23","null","185893","68895b4cc3548521ab78eeca","68898238b2e7e93ff68d5dea","6717af9a3f98b3e30694012e","3","S41_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial3.png","4","",""
