"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":3020},{""page_index"":1,""viewing_time"":2683},{""page_index"":2,""viewing_time"":2503},{""page_index"":3,""viewing_time"":1130},{""page_index"":4,""viewing_time"":1288}]","10624","instructions","0","null","10633","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","","","","","","","",""
"","2990","image-button-response","1","null","14641","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","2","S109_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial2.png","4","",""
"","1826","image-button-response","2","null","16980","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","3","S28_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial3.png","3","",""
"","1834","image-button-response","3","null","19316","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","5","S47_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial5.png","3","",""
"","1565","image-button-response","4","null","21392","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","2","S49_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial2.png","3","",""
"","1897","image-button-response","5","null","23806","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","1","S18_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial1.png","2","",""
"","2341","image-button-response","6","null","26648","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","1","S28_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial1.png","5","",""
"","1791","image-button-response","7","null","28942","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","2","S70_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial2.png","4","",""
"","3487","image-button-response","8","null","32936","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","4","S110_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial4.png","2","",""
"","1969","image-button-response","9","null","35408","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","5","S88_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial5.png","3","",""
"","1346","image-button-response","10","null","37268","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","4","S88_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial4.png","3","",""
"","1378","image-button-response","11","null","39154","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","1","S27_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial1.png","3","",""
"","1664","image-button-response","12","null","41324","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","1","S70_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial1.png","4","",""
"","1323","image-button-response","13","null","43160","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","5","S28_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial5.png","3","",""
"","1581","image-button-response","14","null","45252","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","3","S49_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial3.png","3","",""
"","1458","image-button-response","15","null","47212","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","4","S27_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S27_age5_trial4.png","2","",""
"","1704","image-button-response","16","null","49424","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","4","S69_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial4.png","3","",""
"","1659","image-button-response","17","null","51586","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","1","S17_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial1.png","4","",""
"","2388","image-button-response","18","null","54486","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","5","S17_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial5.png","3","",""
"","2101","image-button-response","19","null","57100","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","2","S29_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial2.png","2","",""
"","2041","image-button-response","20","null","59646","68895b4cc3548521ab78eeca","688a3776866b0a2e03b319de","671d1dcbc6f5d2e81501e24a","1","S88_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial1.png","4","",""
