"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":13773},{""page_index"":1,""viewing_time"":5128},{""page_index"":2,""viewing_time"":4600},{""page_index"":3,""viewing_time"":2104},{""page_index"":4,""viewing_time"":4848}]","30453","instructions","0","null","30461","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","","","","","","","",""
"","6044","image-button-response","1","null","37509","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","4","S42_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial4.png","2","",""
"","5396","image-button-response","2","null","43408","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","2","S81_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial2.png","4","",""
"","4339","image-button-response","3","null","48262","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","5","S22_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial5.png","4","",""
"","3260","image-button-response","4","null","52038","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","5","S21_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial5.png","4","",""
"","3421","image-button-response","5","null","55966","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","5","S10_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial5.png","3","",""
"","2571","image-button-response","6","null","59038","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","2","S100_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial2.png","4","",""
"","2288","image-button-response","7","null","61830","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","5343","image-button-response","8","null","67677","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","1","S42_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial1.png","3","",""
"","4746","image-button-response","9","null","72926","68895b4cc3548521ab78eeca","68895f138c8bdbd0cef77110","672268205351c30413c9837e","4","S62_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial4.png","3","",""
