"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":173071},{""page_index"":1,""viewing_time"":1531},{""page_index"":2,""viewing_time"":2183},{""page_index"":3,""viewing_time"":2570},{""page_index"":4,""viewing_time"":1897}]","181253","instructions","0","null","181304","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","","","","","","","",""
"","7180","image-button-response","1","null","189492","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","5","S50_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial5.png","3","",""
"","14973","image-button-response","2","null","204967","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","4","S110_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial4.png","3","",""
"","17747","image-button-response","3","null","223217","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","2","S51_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial2.png","3","",""
"","52700","image-button-response","4","null","276418","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","3","S88_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial3.png","4","",""
"","35213","image-button-response","5","null","312134","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","3","S110_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial3.png","3","",""
"","16047","image-button-response","6","null","328684","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","2","S29_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial2.png","3","",""
"","24085","image-button-response","7","null","353271","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","1","S89_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial1.png","3","",""
"","20760","image-button-response","8","null","374532","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","4","S29_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial4.png","1","",""
"","52099","image-button-response","9","null","427133","68895b4cc3548521ab78eeca","688a6e862c44fe9b411b7e41","6722b6b9cb69415ce7f4c688","1","S90_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial1.png","4","",""
