"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":26434},{""page_index"":1,""viewing_time"":13616},{""page_index"":2,""viewing_time"":17716},{""page_index"":3,""viewing_time"":16814},{""page_index"":4,""viewing_time"":17142}]","91723","instructions","0","null","91753","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","","","","","","","",""
"","8100","image-button-response","1","null","100868","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","1","S45_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial1.png","4","",""
"","2640","image-button-response","2","null","104025","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","2","S14_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial2.png","4","",""
"","1645","image-button-response","3","null","106191","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","1","S14_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial1.png","3","",""
"","786","image-button-response","4","null","107491","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","2","S26_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial2.png","4","",""
"","1173","image-button-response","5","null","109169","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","4","S45_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial4.png","3","",""
"","480","image-button-response","6","null","110170","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","1","S66_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial1.png","4","",""
"","583","image-button-response","7","null","111264","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","3","S13_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial3.png","5","",""
"","541","image-button-response","8","null","112315","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","1","S84_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial1.png","3","",""
"","472","image-button-response","9","null","113309","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","1","S25_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial1.png","4","",""
"","449","image-button-response","10","null","114271","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","2","S15_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial2.png","3","",""
"","457","image-button-response","11","null","115237","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","2","S105_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial2.png","4","",""
"","499","image-button-response","12","null","116257","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","5","S25_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial5.png","3","",""
"","483","image-button-response","13","null","117254","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","5","S14_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial5.png","4","",""
"","553","image-button-response","14","null","118324","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","1","S105_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial1.png","4","",""
"","503","image-button-response","15","null","119340","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","2","S85_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial2.png","3","",""
"","1238","image-button-response","16","null","121095","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","4","S14_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial4.png","2","",""
"","379","image-button-response","17","null","121980","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","3","S106_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial3.png","3","",""
"","558","image-button-response","18","null","123065","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","4","S46_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial4.png","3","",""
"","425","image-button-response","19","null","123998","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","2","S25_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial2.png","3","",""
"","388","image-button-response","20","null","124892","68895b4cc3548521ab78eeca","6889e63300b29bb26b5ba7a5","673e5a3412198a5e62837745","","","true","false","stimuli/catch_trials/catch_trial.png","2","","3"
