"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":2770},{""page_index"":1,""viewing_time"":3713},{""page_index"":2,""viewing_time"":7150},{""page_index"":3,""viewing_time"":1182},{""page_index"":4,""viewing_time"":4318}]","19133","instructions","0","null","19146","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","","","","","","","",""
"","16159","image-button-response","1","null","36312","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","1","S29_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial1.png","4","",""
"","3048","image-button-response","2","null","39863","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S30_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial3.png","4","",""
"","1896","image-button-response","3","null","42263","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S69_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial3.png","5","",""
"","1497","image-button-response","4","null","44262","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S109_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial3.png","5","",""
"","1796","image-button-response","5","null","46562","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","1","S89_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial1.png","5","",""
"","3698","image-button-response","6","null","50762","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S49_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial4.png","4","",""
"","1931","image-button-response","7","null","53196","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S89_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial3.png","5","",""
"","4580","image-button-response","8","null","58279","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S50_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial4.png","5","",""
"","1514","image-button-response","9","null","60296","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","2","S30_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial2.png","4","",""
"","2080","image-button-response","10","null","62879","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","2","S88_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial2.png","5","",""
"","2430","image-button-response","11","null","65811","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S110_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial4.png","4","",""
"","1448","image-button-response","12","null","67762","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","1","S30_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial1.png","5","",""
"","2149","image-button-response","13","null","70413","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S17_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial3.png","4","",""
"","1647","image-button-response","14","null","72563","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","1","S49_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial1.png","5","",""
"","1481","image-button-response","15","null","74546","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","2","S70_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial2.png","5","",""
"","3131","image-button-response","16","null","78179","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","1","S69_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial1.png","4","",""
"","2030","image-button-response","17","null","80712","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","5","S109_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial5.png","5","",""
"","3315","image-button-response","18","null","84529","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S30_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial4.png","3","",""
"","1514","image-button-response","19","null","86546","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","2","S89_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial2.png","5","",""
"","1547","image-button-response","20","null","88596","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S50_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial3.png","5","",""
"","2298","image-button-response","21","null","91396","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S88_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial4.png","5","",""
"","1915","image-button-response","22","null","93812","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","5","S19_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial5.png","2","",""
"","3330","image-button-response","23","null","97646","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","2","S51_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial2.png","5","",""
"","1281","image-button-response","24","null","99430","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S88_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial3.png","5","",""
"","1230","image-button-response","25","null","101163","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","5","S70_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial5.png","5","",""
"","1931","image-button-response","26","null","103596","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S29_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial3.png","2","",""
"","1864","image-button-response","27","null","105963","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S70_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial4.png","5","",""
"","3564","image-button-response","28","null","110028","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","1","S19_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial1.png","3","",""
"","2164","image-button-response","29","null","112695","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","5","S69_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial5.png","5","",""
"","3515","image-button-response","30","null","116713","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S18_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial4.png","4","",""
"","1846","image-button-response","31","null","119062","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","1","S90_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial1.png","5","",""
"","1414","image-button-response","32","null","120979","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","2","S69_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial2.png","5","",""
"","2915","image-button-response","33","null","124396","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S89_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial4.png","5","",""
"","1264","image-button-response","34","null","126163","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","3","S70_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial3.png","5","",""
"","2846","image-button-response","35","null","129512","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","4","S71_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S71_age7_trial4.png","5","",""
"","1864","image-button-response","36","null","131879","68895b4cc3548521ab78eeca","688a646ee29860442584e8c9","673ead8d8389b11c02a060e9","5","S1_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S1_age4_trial5.png","3","",""
