"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":60723},{""page_index"":1,""viewing_time"":23771},{""page_index"":2,""viewing_time"":16379},{""page_index"":3,""viewing_time"":3505},{""page_index"":4,""viewing_time"":26903}]","131281","instructions","0","null","131287","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","","","","","","","",""
"","15157","image-button-response","1","null","147464","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","1","S100_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial1.png","5","",""
"","7579","image-button-response","2","null","155559","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","1","S41_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial1.png","4","",""
"","10896","image-button-response","3","null","166961","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S101_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial4.png","5","",""
"","4322","image-button-response","4","null","171800","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S81_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial4.png","4","",""
"","3207","image-button-response","5","null","175520","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","3","S81_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial3.png","5","",""
"","4981","image-button-response","6","null","181012","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","1","S10_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial1.png","5","",""
"","1761","image-button-response","7","null","183278","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","1","S62_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial1.png","5","",""
"","11638","image-button-response","8","null","195435","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S41_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial4.png","3","",""
"","8749","image-button-response","9","null","204695","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S61_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial4.png","5","",""
"","5887","image-button-response","10","null","211085","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","1","S101_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial1.png","5","",""
"","3678","image-button-response","11","null","215273","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","3","S62_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial3.png","5","",""
"","4205","image-button-response","12","null","219982","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","2","S61_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S61_age7_trial2.png","5","",""
"","8040","image-button-response","13","null","228535","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","2","S41_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S41_age6_trial2.png","5","",""
"","4438","image-button-response","14","null","233488","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S102_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial4.png","4","",""
"","2633","image-button-response","15","null","236626","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","1","S42_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial1.png","4","",""
"","4669","image-button-response","16","null","241799","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","3","S11_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial3.png","1","",""
"","4468","image-button-response","17","null","246784","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","3","S21_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial3.png","4","",""
"","2853","image-button-response","18","null","250149","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","3","S42_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial3.png","5","",""
"","3431","image-button-response","19","null","254092","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","1","S81_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial1.png","5","",""
"","14653","image-button-response","20","null","269251","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","5","S10_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial5.png","2","",""
"","10690","image-button-response","21","null","280451","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","5","S42_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S42_age6_trial5.png","4","",""
"","4059","image-button-response","22","null","285020","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","2","S102_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial2.png","5","",""
"","3141","image-button-response","23","null","288670","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","5","S100_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial5.png","4","",""
"","3435","image-button-response","24","null","292615","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","5","S11_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S11_age4_trial5.png","1","",""
"","2542","image-button-response","25","null","295671","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","2","S101_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S101_age9_trial2.png","5","",""
"","2751","image-button-response","26","null","298931","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","3","S22_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial3.png","5","",""
"","5338","image-button-response","27","null","304788","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S100_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S100_age8_trial4.png","3","",""
"","2328","image-button-response","28","null","307626","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","3","S102_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial3.png","5","",""
"","3015","image-button-response","29","null","311144","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","5","S81_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S81_age8_trial5.png","5","",""
"","4184","image-button-response","30","null","315843","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S21_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S21_age5_trial4.png","4","",""
"","5051","image-button-response","31","null","321400","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","2","S10_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial2.png","3","",""
"","2012","image-button-response","32","null","323924","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","2","S62_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S62_age7_trial2.png","5","",""
"","3470","image-button-response","33","null","327910","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S22_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial4.png","4","",""
"","15916","image-button-response","34","null","344329","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","4","S10_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S10_age4_trial4.png","1","",""
"","6195","image-button-response","35","null","351038","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","1","S102_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S102_age9_trial1.png","5","",""
"","3168","image-button-response","36","null","354715","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","4615","image-button-response","37","null","359845","68895b4cc3548521ab78eeca","6889659722d4c541a303f23b","673feeafa80a279f5cc63e33","2","S22_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S22_age5_trial2.png","5","",""
