"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":5549},{""page_index"":1,""viewing_time"":4176},{""page_index"":2,""viewing_time"":6960},{""page_index"":3,""viewing_time"":1924},{""page_index"":4,""viewing_time"":2043}]","20652","instructions","0","null","20659","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","","","","","","","",""
"","6096","image-button-response","1","null","27761","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","1","S66_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial1.png","5","",""
"","3212","image-button-response","2","null","31476","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","1","S86_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial1.png","5","",""
"","2277","image-button-response","3","null","34255","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","35769","image-button-response","4","null","70528","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","1","S26_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial1.png","5","",""
"","11601","image-button-response","5","null","82631","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","3","S105_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial3.png","5","",""
"","2244","image-button-response","6","null","85379","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","5","S106_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial5.png","5","",""
"","2903","image-button-response","7","null","88785","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","1","S16_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial1.png","4","",""
"","1401","image-button-response","8","null","90689","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","2","S47_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial2.png","5","",""
"","6303","image-button-response","9","null","97495","68895b4cc3548521ab78eeca","688a14f2d14c722e8986bb15","675a2864cf3d9d870639c42b","5","S46_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial5.png","5","",""
