"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":25919},{""page_index"":1,""viewing_time"":7774},{""page_index"":2,""viewing_time"":17715},{""page_index"":3,""viewing_time"":3730},{""page_index"":4,""viewing_time"":23994}]","79133","instructions","0","null","79164","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","","","","","","","",""
"","15109","image-button-response","1","null","95292","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","2","S88_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial2.png","4","",""
"","17685","image-button-response","2","null","113487","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","2","S50_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial2.png","3","",""
"","16250","image-button-response","3","null","130243","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","2","S89_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial2.png","4","",""
"","29565","image-button-response","4","null","160312","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","1","S110_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial1.png","4","",""
"","88221","image-button-response","5","null","249051","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","2","S69_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial2.png","5","",""
"","38998","image-button-response","6","null","288565","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","5","S69_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial5.png","3","",""
"","11062","image-button-response","7","null","300132","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","5","S19_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial5.png","2","",""
"","18496","image-button-response","8","null","319136","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","5","S88_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial5.png","5","",""
"","53088","image-button-response","9","null","372729","68895b4cc3548521ab78eeca","688a3d788674ef9c848fcef8","677bdabbdcaf99b4cd8c86a5","4","S28_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial4.png","5","",""
