"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":13684},{""page_index"":1,""viewing_time"":17472},{""page_index"":2,""viewing_time"":10166},{""page_index"":3,""viewing_time"":7370},{""page_index"":4,""viewing_time"":12716}]","61408","instructions","0","null","61414","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","","","","","","","",""
"","7276","image-button-response","1","null","69700","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","1","S65_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial1.png","1","",""
"","9561","image-button-response","2","null","79772","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","5","S26_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial5.png","4","",""
"","4602","image-button-response","3","null","84884","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","3","S14_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial3.png","4","",""
"","2334","image-button-response","4","null","87728","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","2","S84_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial2.png","5","",""
"","2504","image-button-response","5","null","90740","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","5","S67_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial5.png","5","",""
"","5169","image-button-response","6","null","96422","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","1","S15_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial1.png","2","",""
"","3318","image-button-response","7","null","100250","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","3","S105_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial3.png","5","",""
"","2310","image-button-response","8","null","103072","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","2","S26_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial2.png","4","",""
"","1973","image-button-response","9","null","105560","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","4","S45_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial4.png","4","",""
"","1779","image-button-response","10","null","107850","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","5","S66_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial5.png","4","",""
"","3755","image-button-response","11","null","112118","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","1","S46_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial1.png","4","",""
"","1968","image-button-response","12","null","114592","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","4","S106_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial4.png","5","",""
"","1293","image-button-response","13","null","116394","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","3","S46_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial3.png","5","",""
"","1757","image-button-response","14","null","118662","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","4","S86_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S86_age8_trial4.png","5","",""
"","3483","image-button-response","15","null","122658","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","2","S16_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial2.png","2","",""
"","2460","image-button-response","16","null","125626","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","4","S65_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial4.png","5","",""
"","1622","image-button-response","17","null","127756","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","1","S107_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S107_age9_trial1.png","5","",""
"","2769","image-button-response","18","null","131030","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","4","S85_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial4.png","4","",""
"","2130","image-button-response","19","null","133662","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","4","S67_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S67_age7_trial4.png","5","",""
"","2443","image-button-response","20","null","136618","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","4","S14_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial4.png","2","",""
"","2381","image-button-response","21","null","139510","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","2","S106_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial2.png","5","",""
"","5772","image-button-response","22","null","145796","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","4","S15_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial4.png","2","",""
"","3667","image-button-response","23","null","149966","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","5","S25_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial5.png","5","",""
"","2715","image-button-response","24","null","153186","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","5","S14_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial5.png","2","",""
"","4565","image-button-response","25","null","158256","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","5","S15_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial5.png","2","",""
"","1952","image-button-response","26","null","160710","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","5","S105_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial5.png","5","",""
"","5213","image-button-response","27","null","166438","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","1","S16_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial1.png","2","",""
"","2946","image-button-response","28","null","169888","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","2","S17_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial2.png","4","",""
"","1890","image-button-response","29","null","172294","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","2","S46_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial2.png","5","",""
"","3357","image-button-response","30","null","176160","68895b4cc3548521ab78eeca","688a022b1c7b59d25d394fd5","677f08ec6e5c69e32cf8e4a2","3","S47_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S47_age6_trial3.png","4","",""
