"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":3768},{""page_index"":1,""viewing_time"":7229},{""page_index"":2,""viewing_time"":15339},{""page_index"":3,""viewing_time"":3438},{""page_index"":4,""viewing_time"":2648}]","32422","instructions","0","null","32438","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","","","","","","","",""
"","3167","image-button-response","1","null","36615","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","2","S65_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial2.png","5","",""
"","3031","image-button-response","2","null","40161","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","1","S23_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial1.png","5","",""
"","4384","image-button-response","3","null","45054","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","5","S66_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial5.png","5","",""
"","1181","image-button-response","4","null","46741","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","3","S103_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial3.png","5","",""
"","1100","image-button-response","5","null","48354","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","3","S13_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial3.png","5","",""
"","1095","image-button-response","6","null","49953","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","2","S45_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial2.png","5","",""
"","1562","image-button-response","7","null","52028","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","5","S65_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial5.png","5","",""
"","24841","image-button-response","8","null","77377","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","2","S64_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial2.png","5","",""
"","2356","image-button-response","9","null","80243","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","5","S103_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial5.png","5","",""
"","1358","image-button-response","10","null","82111","68895b4cc3548521ab78eeca","6889d64e1afed15cd4ee6e3c","67837959a1ccc1627479fb36","2","S104_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial2.png","5","",""
