"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":21193},{""page_index"":1,""viewing_time"":1507},{""page_index"":2,""viewing_time"":4552},{""page_index"":3,""viewing_time"":5513},{""page_index"":4,""viewing_time"":1774}]","34539","instructions","0","null","34564","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","","","","","","","",""
"","17996","image-button-response","1","null","53585","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S106_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial1.png","5","",""
"","16733","image-button-response","2","null","70830","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S15_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial5.png","1","",""
"","14350","image-button-response","3","null","85692","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S14_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial4.png","4","",""
"","12878","image-button-response","4","null","99087","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S84_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial3.png","5","",""
"","4764","image-button-response","5","null","104357","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","9967","image-button-response","6","null","114829","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S66_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial4.png","4","",""
"","6740","image-button-response","7","null","122077","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S105_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial3.png","5","",""
"","8669","image-button-response","8","null","131259","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S13_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial3.png","5","",""
"","8640","image-button-response","9","null","140402","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S26_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial5.png","5","",""
"","9288","image-button-response","10","null","150195","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S15_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial4.png","5","",""
"","9708","image-button-response","11","null","160415","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S26_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial1.png","5","",""
"","12637","image-button-response","12","null","173570","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S84_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial4.png","5","",""
"","7738","image-button-response","13","null","181821","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S26_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial4.png","5","",""
"","16396","image-button-response","14","null","198722","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S85_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial5.png","5","",""
"","7982","image-button-response","15","null","207215","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S65_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial5.png","5","",""
"","10768","image-button-response","16","null","218501","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S15_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial2.png","5","",""
"","9529","image-button-response","17","null","228537","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S46_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial3.png","5","",""
"","8876","image-button-response","18","null","237919","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S85_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial4.png","5","",""
"","9082","image-button-response","19","null","247510","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S14_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial1.png","1","",""
"","11624","image-button-response","20","null","259638","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S106_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial4.png","5","",""
"","5747","image-button-response","21","null","265890","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S65_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial3.png","5","",""
"","8039","image-button-response","22","null","274434","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S105_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial5.png","5","",""
"","12962","image-button-response","23","null","287906","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S65_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial1.png","1","",""
"","9198","image-button-response","24","null","297614","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S65_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial2.png","1","",""
"","24099","image-button-response","25","null","322226","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S85_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial2.png","1","",""
"","8428","image-button-response","26","null","331170","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S25_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial2.png","1","",""
"","6984","image-button-response","27","null","338663","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S25_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial1.png","1","",""
"","8335","image-button-response","28","null","347513","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S45_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial3.png","5","",""
"","5443","image-button-response","29","null","353475","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S45_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial4.png","5","",""
"","6922","image-button-response","30","null","360914","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S46_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial5.png","5","",""
"","11106","image-button-response","31","null","372522","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S66_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial5.png","5","",""
"","21098","image-button-response","32","null","394124","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S25_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial5.png","5","",""
"","16622","image-button-response","33","null","411256","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S106_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial3.png","5","",""
"","8186","image-button-response","34","null","419954","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S45_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial2.png","5","",""
"","14378","image-button-response","35","null","434837","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S66_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial1.png","5","",""
"","7786","image-button-response","36","null","443126","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S46_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial1.png","5","",""
"","10233","image-button-response","37","null","453870","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S14_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial3.png","4","",""
"","8215","image-button-response","38","null","462599","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S84_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial2.png","5","",""
"","10632","image-button-response","39","null","473736","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S26_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S26_age5_trial3.png","5","",""
"","7422","image-button-response","40","null","481672","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S25_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial3.png","5","",""
"","9736","image-button-response","41","null","491927","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S105_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial2.png","5","",""
"","11553","image-button-response","42","null","503983","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S106_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial5.png","5","",""
"","10226","image-button-response","43","null","514720","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S66_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial3.png","5","",""
"","9872","image-button-response","44","null","525107","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S66_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial2.png","1","",""
"","12849","image-button-response","45","null","538462","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S14_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial5.png","4","",""
"","11240","image-button-response","46","null","550211","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","2","S16_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S16_age4_trial2.png","4","",""
"","9256","image-button-response","47","null","559985","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S84_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial5.png","4","",""
"","17563","image-button-response","48","null","578064","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S15_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial1.png","5","",""
"","9288","image-button-response","49","null","587858","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S84_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial1.png","5","",""
"","11878","image-button-response","50","null","600239","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","5","S45_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial5.png","5","",""
"","9345","image-button-response","51","null","610092","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S65_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial4.png","1","",""
"","11849","image-button-response","52","null","622446","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","3","S85_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial3.png","1","",""
"","9179","image-button-response","53","null","632143","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S105_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial4.png","1","",""
"","12395","image-button-response","54","null","645049","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S45_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial1.png","1","",""
"","7919","image-button-response","55","null","653474","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S46_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial4.png","1","",""
"","11265","image-button-response","56","null","665243","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","1","S105_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial1.png","5","",""
"","7113","image-button-response","57","null","672867","68895b4cc3548521ab78eeca","6889efeead2788738a977797","67cb68dd16c001bfb9316992","4","S25_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial4.png","1","",""
