"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":13330},{""page_index"":1,""viewing_time"":52334},{""page_index"":2,""viewing_time"":37804},{""page_index"":3,""viewing_time"":4953},{""page_index"":4,""viewing_time"":30699}]","139121","instructions","0","null","139161","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","","","","","","","",""
"","10660","image-button-response","1","null","150845","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","3","S19_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial3.png","2","",""
"","11839","image-button-response","2","null","163203","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","1","S110_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial1.png","4","",""
"","15778","image-button-response","3","null","179494","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","2","S69_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial2.png","5","",""
"","19373","image-button-response","4","null","199380","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","4","S19_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial4.png","3","",""
"","12274","image-button-response","5","null","212162","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","4","S29_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial4.png","2","",""
"","6729","image-button-response","6","null","219407","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","5","S29_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial5.png","2","",""
"","6983","image-button-response","7","null","226899","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","1","S70_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial1.png","5","",""
"","10796","image-button-response","8","null","238202","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","5","S49_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial5.png","5","",""
"","7042","image-button-response","9","null","245754","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","1","S30_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial1.png","4","",""
"","11041","image-button-response","10","null","257316","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","2","S110_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial2.png","4","",""
"","10432","image-button-response","11","null","268258","68895b4cc3548521ab78eeca","688a69ebc44d303d17f302ec","67cfeddb9f4b04d789ca82bd","3","S110_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial3.png","4","",""
