"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":21596},{""page_index"":1,""viewing_time"":16823},{""page_index"":2,""viewing_time"":21800},{""page_index"":3,""viewing_time"":5896},{""page_index"":4,""viewing_time"":35872}]","101988","instructions","0","null","102025","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","","","","","","","",""
"","19387","image-button-response","1","null","122433","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","3","S65_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial3.png","4","",""
"","14006","image-button-response","2","null","136944","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","5","S44_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial5.png","3","",""
"","10760","image-button-response","3","null","148208","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","2","S84_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial2.png","3","",""
"","11635","image-button-response","4","null","160360","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","3","S25_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial3.png","3","",""
"","12402","image-button-response","5","null","173280","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","1","S84_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial1.png","4","",""
"","10997","image-button-response","6","null","184784","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","1","S64_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial1.png","2","",""
"","7034","image-button-response","7","null","192328","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","4","S23_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial4.png","2","",""
"","10324","image-button-response","8","null","203168","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","3","S83_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial3.png","4","",""
"","5841","image-button-response","9","null","209520","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","5","S104_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial5.png","4","",""
"","11776","image-button-response","10","null","221800","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","4","S84_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial4.png","3","",""
"","10986","image-button-response","11","null","233296","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","1","S63_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial1.png","4","",""
"","7847","image-button-response","12","null","241647","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","4","S105_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial4.png","4","",""
"","10212","image-button-response","13","null","252375","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","1","S14_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial1.png","2","",""
"","15230","image-button-response","14","null","268111","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","2","S65_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial2.png","5","",""
"","10492","image-button-response","15","null","279112","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","2","S44_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial2.png","4","",""
"","7753","image-button-response","16","null","287375","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","5","S65_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial5.png","4","",""
"","9840","image-button-response","17","null","297719","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","5","S103_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial5.png","4","",""
"","8534","image-button-response","18","null","306759","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","2","S64_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial2.png","4","",""
"","9030","image-button-response","19","null","316303","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","4","S43_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial4.png","3","",""
"","7991","image-button-response","20","null","324799","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","5","S23_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial5.png","2","",""
"","9390","image-button-response","21","null","334695","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","4","S106_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial4.png","4","",""
"","9347","image-button-response","22","null","344559","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","2","S85_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S85_age8_trial2.png","4","",""
"","4095","image-button-response","23","null","349167","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","2","S105_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial2.png","4","",""
"","7744","image-button-response","24","null","357423","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","3","S24_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial3.png","2","",""
"","2537","image-button-response","25","null","360463","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","2","S23_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial2.png","2","",""
"","6459","image-button-response","26","null","367431","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","4","S13_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial4.png","2","",""
"","4285","image-button-response","27","null","372223","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","1","S104_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial1.png","3","",""
"","12207","image-button-response","28","null","384943","68895b4cc3548521ab78eeca","6889ca53b12f1a7f7f2e8fa8","67d0c73d781bc022a088d11f","4","S66_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial4.png","3","",""
