"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":11279},{""page_index"":1,""viewing_time"":5832},{""page_index"":2,""viewing_time"":2784},{""page_index"":3,""viewing_time"":2001},{""page_index"":4,""viewing_time"":5408}]","27303","instructions","0","null","27320","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","","","","","","","",""
"","13321","image-button-response","1","null","41663","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S65_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial4.png","5","",""
"","6513","image-button-response","2","null","48679","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S106_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S106_age9_trial4.png","4","",""
"","3038","image-button-response","3","null","52231","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","8331","image-button-response","4","null","61071","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S82_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S82_age8_trial5.png","4","",""
"","14838","image-button-response","5","null","76423","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","3","S45_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial3.png","4","",""
"","29114","image-button-response","6","null","106046","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","2","S65_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial2.png","5","",""
"","7486","image-button-response","7","null","114038","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","2","S45_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial2.png","4","",""
"","36998","image-button-response","8","null","151550","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S44_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial5.png","4","",""
"","7817","image-button-response","9","null","159878","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S105_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S105_age9_trial4.png","4","",""
"","18903","image-button-response","10","null","179302","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S84_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial4.png","4","",""
"","9997","image-button-response","11","null","189805","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","3","S44_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S44_age6_trial3.png","4","",""
"","17893","image-button-response","12","null","208205","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","2","S15_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S15_age4_trial2.png","4","",""
"","6931","image-button-response","13","null","215645","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","3","S83_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial3.png","4","",""
"","17669","image-button-response","14","null","233821","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","3","S65_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial3.png","5","",""
"","8599","image-button-response","15","null","242933","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S66_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S66_age7_trial4.png","4","",""
"","7662","image-button-response","16","null","251109","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S64_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial5.png","4","",""
"","11402","image-button-response","17","null","263029","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S83_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S83_age8_trial1.png","5","",""
"","4342","image-button-response","18","null","267885","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","2","S24_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial2.png","4","",""
"","13323","image-button-response","19","null","281725","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","3","S25_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial3.png","4","",""
"","4803","image-button-response","20","null","287045","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","2","S64_age7_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial2.png","5","",""
"","1208","image-button-response","21","null","288757","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S65_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S65_age7_trial5.png","4","",""
"","604","image-button-response","22","null","289877","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","3","S13_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial3.png","4","",""
"","622","image-button-response","23","null","291005","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S43_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S43_age6_trial5.png","3","",""
"","552","image-button-response","24","null","292060","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S46_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S46_age6_trial1.png","4","",""
"","1440","image-button-response","25","null","294005","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","2","S14_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial2.png","5","",""
"","8551","image-button-response","26","null","303061","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S12_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S12_age4_trial4.png","5","",""
"","15748","image-button-response","27","null","319317","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S24_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial4.png","3","",""
"","1660","image-button-response","28","null","321484","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S24_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial5.png","4","",""
"","419","image-button-response","29","null","322421","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S104_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial5.png","4","",""
"","250","image-button-response","30","null","323188","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S25_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S25_age5_trial5.png","4","",""
"","1943","image-button-response","31","null","325637","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S13_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S13_age4_trial1.png","5","",""
"","1551","image-button-response","32","null","327693","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S45_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S45_age6_trial4.png","4","",""
"","2732","image-button-response","33","null","330932","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S84_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial1.png","3","",""
"","751","image-button-response","34","null","332196","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","3","S14_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial3.png","4","",""
"","970","image-button-response","35","null","333676","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S63_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S63_age7_trial1.png","4","",""
"","1120","image-button-response","36","null","335301","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S104_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S104_age9_trial1.png","4","",""
"","929","image-button-response","37","null","336733","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","4","S23_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S23_age5_trial4.png","5","",""
"","413","image-button-response","38","null","337653","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","3","S103_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial3.png","4","",""
"","223","image-button-response","39","null","338380","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S24_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S24_age5_trial1.png","5","",""
"","617","image-button-response","40","null","339501","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S14_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S14_age4_trial1.png","3","",""
"","540","image-button-response","41","null","340548","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","2","S84_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S84_age8_trial2.png","4","",""
"","215","image-button-response","42","null","341268","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","5","S103_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S103_age9_trial5.png","5","",""
"","519","image-button-response","43","null","342348","68895b4cc3548521ab78eeca","6889cd8cf705510fc9c69141","67dc27ebfaac943439d5e0b1","1","S64_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S64_age7_trial1.png","3","",""
