"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":125555},{""page_index"":1,""viewing_time"":13718},{""page_index"":2,""viewing_time"":85664},{""page_index"":3,""viewing_time"":32},{""page_index"":4,""viewing_time"":27272}]","252241","instructions","0","null","252248","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","","","","","","","",""
"","9444","image-button-response","1","null","262700","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","4","S87_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S87_age8_trial4.png","5","",""
"","10071","image-button-response","2","null","273273","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","4","S109_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial4.png","4","",""
"","10841","image-button-response","3","null","284621","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","2","S28_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial2.png","4","",""
"","51268","image-button-response","4","null","336404","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","3","S18_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial3.png","5","",""
"","11163","image-button-response","5","null","348075","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","2","S19_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial2.png","3","",""
"","44927","image-button-response","6","null","393518","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","3","S50_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial3.png","5","",""
"","42056","image-button-response","7","null","436080","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","3","S28_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial3.png","4","",""
"","14868","image-button-response","8","null","451460","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","1","S28_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial1.png","2","",""
"","5281","image-button-response","9","null","457251","68895b4cc3548521ab78eeca","688a38416290b6bbb1f0e083","67dda00e83d591e9a6123c5f","1","S29_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial1.png","2","",""
