"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":114309},{""page_index"":1,""viewing_time"":98745},{""page_index"":2,""viewing_time"":36008},{""page_index"":3,""viewing_time"":3288},{""page_index"":4,""viewing_time"":16303}]","268654","instructions","0","null","268679","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","","","","","","","",""
"","15474","image-button-response","1","null","285168","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","3","S17_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial3.png","2","",""
"","14326","image-button-response","2","null","300009","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","1","S70_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial1.png","4","",""
"","9814","image-button-response","3","null","310324","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","3","S51_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial3.png","1","",""
"","16462","image-button-response","4","null","327293","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","4","S69_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial4.png","4","",""
"","10460","image-button-response","5","null","338261","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","4","S110_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial4.png","3","",""
"","11302","image-button-response","6","null","350073","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","5","S18_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial5.png","1","",""
"","15883","image-button-response","7","null","366471","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","5","S19_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial5.png","2","",""
"","16585","image-button-response","8","null","383572","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","2","S50_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial2.png","4","",""
"","15684","image-button-response","9","null","399759","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","5","S50_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial5.png","4","",""
"","10690","image-button-response","10","null","410961","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","1","S88_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial1.png","4","",""
"","9136","image-button-response","11","null","420614","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","3","S69_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial3.png","4","",""
"","12468","image-button-response","12","null","433588","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","1","S69_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial1.png","4","",""
"","9470","image-button-response","13","null","443562","68895b4cc3548521ab78eeca","688a51ec2946b7fb382eda28","67e85abca44b52f2e03fcbb1","4","S70_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial4.png","4","",""
