"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":85236},{""page_index"":1,""viewing_time"":307551},{""page_index"":2,""viewing_time"":20104},{""page_index"":3,""viewing_time"":8920},{""page_index"":4,""viewing_time"":22504}]","444316","instructions","0","null","444329","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","","","","","","","",""
"","9505","image-button-response","1","null","454857","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","2","S50_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial2.png","4","",""
"","10156","image-button-response","2","null","465520","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","3","S110_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial3.png","4","",""
"","7489","image-button-response","3","null","473528","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S50_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial4.png","4","",""
"","7703","image-button-response","4","null","481736","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S89_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial4.png","4","",""
"","6718","image-button-response","5","null","488960","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","2","S89_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial2.png","5","",""
"","8212","image-button-response","6","null","497680","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S88_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial1.png","5","",""
"","4480","image-button-response","7","null","502672","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S70_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial4.png","5","",""
"","3817","image-button-response","8","null","507000","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S49_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial4.png","4","",""
"","6706","image-button-response","9","null","514217","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S69_age7_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial4.png","4","",""
"","6137","image-button-response","10","null","520864","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","3","S30_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial3.png","3","",""
"","4124","image-button-response","11","null","525496","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","3","S109_age9_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial3.png","5","",""
"","3599","image-button-response","12","null","529600","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S109_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial1.png","5","",""
"","5686","image-button-response","13","null","535792","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","3","S17_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial3.png","4","",""
"","6869","image-button-response","14","null","543176","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","3","S49_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial3.png","3","",""
"","8497","image-button-response","15","null","552176","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S19_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial4.png","1","",""
"","7320","image-button-response","16","null","560000","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S49_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial1.png","5","",""
"","6816","image-button-response","17","null","567320","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S28_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S28_age5_trial1.png","5","",""
"","4955","image-button-response","18","null","572784","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S49_age6_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial5.png","3","",""
"","7736","image-button-response","19","null","581032","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S88_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial4.png","4","",""
"","9006","image-button-response","20","null","590552","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S109_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial5.png","5","",""
"","6465","image-button-response","21","null","597536","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S19_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial5.png","2","",""
"","3898","image-button-response","22","null","601952","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","2","S108_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S108_age9_trial2.png","5","",""
"","3941","image-button-response","23","null","606400","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S29_age5_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial1.png","3","",""
"","5171","image-button-response","24","null","612080","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S69_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial1.png","4","",""
"","5148","image-button-response","25","null","617736","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S18_age4_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial5.png","1","",""
"","3673","image-button-response","26","null","621912","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S109_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial4.png","5","",""
"","4664","image-button-response","27","null","627080","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S70_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S70_age7_trial5.png","5","",""
"","5882","image-button-response","28","null","633472","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S50_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial1.png","5","",""
"","6191","image-button-response","29","null","640168","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","2","S19_age4_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial2.png","1","",""
"","3504","image-button-response","30","null","644176","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S88_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial5.png","4","",""
"","2799","image-button-response","31","null","647480","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S30_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial5.png","3","",""
"","2961","image-button-response","32","null","650944","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","2","S109_age9_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial2.png","5","",""
"","2645","image-button-response","33","null","654096","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S29_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial4.png","1","",""
"","5376","image-button-response","34","null","659976","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","2","S51_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial2.png","4","",""
"","5398","image-button-response","35","null","665880","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S17_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial1.png","4","",""
"","3608","image-button-response","36","null","669992","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","3","S50_age6_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial3.png","4","",""
"","4621","image-button-response","37","null","675128","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","3","S29_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial3.png","1","",""
"","2603","image-button-response","38","null","678240","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","","","true","false","stimuli/catch_trials/catch_trial.png","0","","1"
"","5000","image-button-response","39","null","683744","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","2","S29_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial2.png","1","",""
"","3720","image-button-response","40","null","687968","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S110_age9_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial1.png","4","",""
"","5711","image-button-response","41","null","694184","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S89_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial5.png","4","",""
"","5588","image-button-response","42","null","700280","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","3","S69_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial3.png","5","",""
"","2879","image-button-response","43","null","703664","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","1","S87_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S87_age8_trial1.png","5","",""
"","29598","image-button-response","44","null","733768","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S69_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial5.png","4","",""
"","46835","image-button-response","45","null","781120","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","5","S110_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial5.png","4","",""
"","7032","image-button-response","46","null","788656","68895b4cc3548521ab78eeca","688a4d7390f8e8708fb92aa3","67eb05609784671d4a2cf76c","4","S18_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial4.png","2","",""
