"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","tracing_type","tracing_id","catch_trial","prep_trial","stimulus","response","sketcher_category","response_category"
"[{""page_index"":0,""viewing_time"":15991},{""page_index"":1,""viewing_time"":20159},{""page_index"":2,""viewing_time"":21104},{""page_index"":3,""viewing_time"":9064},{""page_index"":4,""viewing_time"":25904}]","92223","instructions","0","null","92258","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","","","","","","","",""
"","16884","image-button-response","1","null","110152","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","1","S18_age4_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S18_age4_trial1.png","2","",""
"","9718","image-button-response","2","null","120377","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","5","S30_age5_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial5.png","4","",""
"","17075","image-button-response","3","null","137961","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","5","S110_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S110_age9_trial5.png","5","",""
"","14758","image-button-response","4","null","153224","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","4","S111_age9_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S111_age9_trial4.png","5","",""
"","15518","image-button-response","5","null","169249","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","2","S30_age5_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial2.png","5","",""
"","16655","image-button-response","6","null","186409","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","3","S17_age4_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S17_age4_trial3.png","5","",""
"","9628","image-button-response","7","null","196543","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","4","S19_age4_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S19_age4_trial4.png","4","",""
"","8758","image-button-response","8","null","205809","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","3","S29_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial3.png","3","",""
"","8177","image-button-response","9","null","214497","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","2","S51_age6_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S51_age6_trial2.png","5","",""
"","9670","image-button-response","10","null","224681","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","4","S50_age6_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S50_age6_trial4.png","4","",""
"","10639","image-button-response","11","null","235824","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","4","S29_age5_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S29_age5_trial4.png","2","",""
"","6799","image-button-response","12","null","243129","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","5","S89_age8_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial5.png","4","",""
"","6871","image-button-response","13","null","250504","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","5","S69_age7_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial5.png","5","",""
"","16144","image-button-response","14","null","267160","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","1","S69_age7_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial1.png","5","",""
"","8066","image-button-response","15","null","275736","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","4","S90_age8_trial4.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial4.png","4","",""
"","12639","image-button-response","16","null","288880","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","3","S69_age7_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S69_age7_trial3.png","5","",""
"","11429","image-button-response","17","null","300816","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","5","S109_age9_trial5.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S109_age9_trial5.png","4","",""
"","11166","image-button-response","18","null","312495","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","3","S30_age5_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S30_age5_trial3.png","4","",""
"","8161","image-button-response","19","null","321168","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","1","S49_age6_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S49_age6_trial1.png","5","",""
"","7623","image-button-response","20","null","329296","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","3","S89_age8_trial3.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S89_age8_trial3.png","4","",""
"","7060","image-button-response","21","null","336873","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","1","S90_age8_trial1.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S90_age8_trial1.png","5","",""
"","7509","image-button-response","22","null","344897","68895b4cc3548521ab78eeca","688a6581694a767fb4f00030","67ed8a9ef13251ff7c8b66a8","2","S88_age8_trial2.png","false","false","https://kisumu-drawings.s3-us-west-1.amazonaws.com/tracings/S88_age8_trial2.png","5","",""
